mask_name,target_bps,stop_bps,max_hold_ms,cost100_supported_rows,cost100_unsupported_rows,cost100_action_taken_count,cost100_no_action_count,cost100_baseline_target_count,cost100_baseline_stop_count,cost100_baseline_timeout_count,cost100_baseline_sum_after_cost_bps,cost100_baseline_avg_after_cost_bps,cost100_baseline_median_after_cost_bps,cost100_tsv2_sum_after_cost_bps,cost100_tsv2_avg_after_cost_bps,cost100_tsv2_median_after_cost_bps,cost100_delta_sum_bps,cost100_delta_avg_bps,cost100_delta_median_bps,cost100_action_delta_avg_bps,cost100_action_delta_median_bps,cost100_beneficial_exit_count,cost100_harmful_exit_count,cost100_neutral_exit_count,cost100_exit_action_precision,cost100_exit_action_precision_denominator,cost100_exit_action_precision_wilson95_lower,cost100_saved_stop_count,cost100_saved_stop_damage_bps,cost100_target_cut_count,cost100_target_cut_damage_bps,cost100_timeout_improved_count,cost100_timeout_improved_bps,cost100_generic_beneficial_count,cost100_generic_beneficial_bps,cost100_gross_saved_damage_bps,cost100_harmful_damage_bps,cost100_target_cut_damage_ratio,cost100_target_cut_damage_guard_pass,cost100_target_cut_count_guard_pass,cost100_target_cut_count_guard_limit,cost100_stale_no_action_exclusions,cost100_no_candidate_exclusions,cost100_not_active_exit_eligible_exclusions,cost100_candidate_after_baseline_exclusions,cost100_candidate_after_max_hold_exclusions,cost100_ambiguous_unjoined_exclusions,cost100_lifecycle_without_exit_replay_exclusions,cost100_exact_rows,cost100_path_approx_rows,cost100_baseline_unavailable_rows,cost100_max_consecutive_harmful_actions,cost100_classification_counts,cost100_exclusion_counts,cost100_aggregate_target_cut_damage_guard_pass,cost100_aggregate_target_cut_count_guard_pass,cost100_segment_target_cut_damage_guard_pass,cost100_segment_target_cut_damage_fail_segments,cost100_segment_target_cut_damage_ratios,cost100_row_verdict,cost100_public_row_verdict
M8_DELAY_12000MS_CONFIRM,1000,-1000,30000,3656,1175,2899,757,260,502,2894,-981862,-268.5618161925602,-202.0,-969356,-265.14113785557987,-202.0,12506,3.4206783369803064,0.0,4.313901345291479,0.0,169,107,2623,0.6123188405797102,276,0.5536716886604959,30,24293,27,19199,139,23845,0,0,48138,35632,0.3988325231625743,False,True,43.9,13,80,3,443,176,0,1175,3656,0,0,,"{""cut_target"": 27, ""harmful_exit"": 80, ""neutral_exit"": 2623, ""no_active_exit"": 757, ""no_exit_replay"": 1175, ""saved_stop"": 30, ""timeout_improved"": 139}","{""candidate_after_baseline_exit"": 443, ""candidate_after_max_hold"": 176, ""delay_after_lifecycle_close"": 42, ""lifecycle_without_exit_replay"": 1175, ""no_candidate"": 80, ""none"": 2899, ""not_active_exit_eligible"": 3, ""stale_data_no_action"": 13}",False,True,False,"train,validation","{""holdout"": 0.18152578148557644, ""train"": 0.6947196140925145, ""validation"": 0.45228789609764897}",TARGET_CUT_RISK_UNRESOLVED,TARGET_CUT_RISK_UNRESOLVED / INCONCLUSIVE_RESEARCH
M8_DELAY_12000MS_CONFIRM,1000,-1000,60000,3656,1175,2918,738,330,576,2750,-1012958,-277.0672866520788,-202.0,-969328,-265.13347921225386,-202.0,43630,11.933807439824946,0.0,14.952021932830705,0.0,498,206,2214,0.7073863636363636,704,0.6727257124172884,97,81957,89,78729,401,63906,0,0,145863,102233,0.539746200201559,False,True,137.1,13,80,3,566,34,0,1175,3656,0,0,,"{""cut_target"": 89, ""harmful_exit"": 117, ""neutral_exit"": 2214, ""no_active_exit"": 738, ""no_exit_replay"": 1175, ""saved_stop"": 97, ""timeout_improved"": 401}","{""candidate_after_baseline_exit"": 566, ""candidate_after_max_hold"": 34, ""delay_after_lifecycle_close"": 42, ""lifecycle_without_exit_replay"": 1175, ""no_candidate"": 80, ""none"": 2918, ""not_active_exit_eligible"": 3, ""stale_data_no_action"": 13}",False,True,False,"train,validation,holdout","{""holdout"": 0.4444381927643054, ""train"": 0.6522973670624678, ""validation"": 0.5454636491087522}",TARGET_CUT_RISK_UNRESOLVED,TARGET_CUT_RISK_UNRESOLVED / INCONCLUSIVE_RESEARCH
M8_DELAY_12000MS_CONFIRM,1000,-1000,120000,3656,1175,2919,737,360,635,2661,-1079668,-295.3140043763676,-206.0,-969043,-265.05552516411376,-202.0,110625,30.258479212253828,0.0,37.89825282631038,0.0,775,220,1924,0.7788944723618091,995,0.7520636520846459,156,132126,119,109381,619,111459,0,0,243585,132960,0.4490465340640844,False,True,217.9,13,80,3,598,1,0,1175,3656,0,0,,"{""cut_target"": 119, ""harmful_exit"": 101, ""neutral_exit"": 1924, ""no_active_exit"": 737, ""no_exit_replay"": 1175, ""saved_stop"": 156, ""timeout_improved"": 619}","{""candidate_after_baseline_exit"": 598, ""candidate_after_max_hold"": 1, ""delay_after_lifecycle_close"": 42, ""lifecycle_without_exit_replay"": 1175, ""no_candidate"": 80, ""none"": 2919, ""not_active_exit_eligible"": 3, ""stale_data_no_action"": 13}",False,True,False,"train,validation,holdout","{""holdout"": 0.4149457409356513, ""train"": 0.46541296187756426, ""validation"": 0.4677037789365471}",TARGET_CUT_RISK_UNRESOLVED,TARGET_CUT_RISK_UNRESOLVED / INCONCLUSIVE_RESEARCH
M8_DELAY_12000MS_CONFIRM,1000,-700,30000,3656,1175,2853,803,250,570,2836,-850313,-232.5801422319475,-202.0,-844837,-231.0823304157549,-202.0,5476,1.4978118161925602,0.0,1.9193831055029793,0.0,158,101,2594,0.61003861003861,259,0.5494439547417431,36,21838,24,16729,122,16351,0,0,38189,32713,0.4380580795517034,False,True,48.2,13,80,3,489,176,0,1175,3656,0,0,,"{""cut_target"": 24, ""harmful_exit"": 77, ""neutral_exit"": 2594, ""no_active_exit"": 803, ""no_exit_replay"": 1175, ""saved_stop"": 36, ""timeout_improved"": 122}","{""candidate_after_baseline_exit"": 489, ""candidate_after_max_hold"": 176, ""delay_after_lifecycle_close"": 42, ""lifecycle_without_exit_replay"": 1175, ""no_candidate"": 80, ""none"": 2853, ""not_active_exit_eligible"": 3, ""stale_data_no_action"": 13}",False,True,False,"train,validation","{""holdout"": 0.21711430356027484, ""train"": 0.8234200743494424, ""validation"": 0.4390393616205018}",TARGET_CUT_RISK_UNRESOLVED,TARGET_CUT_RISK_UNRESOLVED / INCONCLUSIVE_RESEARCH
M8_DELAY_12000MS_CONFIRM,1000,-700,60000,3656,1175,2869,787,312,662,2682,-866876,-237.11050328227572,-202.0,-845862,-231.36269146608316,-202.0,21014,5.74781181619256,0.0,7.324503311258278,0.0,479,195,2195,0.7106824925816023,674,0.6753319095076488,123,69993,81,69081,356,41598,0,0,111591,90577,0.619055300158615,False,True,158.6,13,80,3,615,34,0,1175,3656,0,0,,"{""cut_target"": 81, ""harmful_exit"": 114, ""neutral_exit"": 2195, ""no_active_exit"": 787, ""no_exit_replay"": 1175, ""saved_stop"": 123, ""timeout_improved"": 356}","{""candidate_after_baseline_exit"": 615, ""candidate_after_max_hold"": 34, ""delay_after_lifecycle_close"": 42, ""lifecycle_without_exit_replay"": 1175, ""no_candidate"": 80, ""none"": 2869, ""not_active_exit_eligible"": 3, ""stale_data_no_action"": 13}",False,True,False,"train,validation,holdout","{""holdout"": 0.5221752525614387, ""train"": 0.73777165953957, ""validation"": 0.6191466636685592}",TARGET_CUT_RISK_UNRESOLVED,TARGET_CUT_RISK_UNRESOLVED / INCONCLUSIVE_RESEARCH
M8_DELAY_12000MS_CONFIRM,1000,-700,120000,3656,1175,2869,787,340,718,2598,-919548,-251.51750547045953,-207.0,-845862,-231.36269146608316,-202.0,73686,20.154814004376366,0.0,25.683513419309865,0.0,749,206,1914,0.7842931937172775,955,0.7570950157022607,179,103912,109,98017,570,89071,0,0,192983,119297,0.5079048413590834,False,True,236.0,13,80,3,648,1,0,1175,3656,0,0,,"{""cut_target"": 109, ""harmful_exit"": 97, ""neutral_exit"": 1914, ""no_active_exit"": 787, ""no_exit_replay"": 1175, ""saved_stop"": 179, ""timeout_improved"": 570}","{""candidate_after_baseline_exit"": 648, ""candidate_after_max_hold"": 1, ""delay_after_lifecycle_close"": 42, ""lifecycle_without_exit_replay"": 1175, ""no_candidate"": 80, ""none"": 2869, ""not_active_exit_eligible"": 3, ""stale_data_no_action"": 13}",False,True,False,"train,validation,holdout","{""holdout"": 0.46820420958351994, ""train"": 0.5338490403543307, ""validation"": 0.5238563860322459}",TARGET_CUT_RISK_UNRESOLVED,TARGET_CUT_RISK_UNRESOLVED / INCONCLUSIVE_RESEARCH
M8_DELAY_12000MS_CONFIRM,1000,-500,30000,3656,1175,2747,909,237,690,2729,-751527,-205.55990153172866,-202.0,-746920,-204.29978118161927,-202.0,4607,1.2601203501094091,0.0,1.6771022934109938,0.0,146,87,2514,0.6266094420600858,233,0.5629190320467059,35,17397,20,11672,111,11409,0,0,28806,24199,0.4051933624939249,False,True,46.1,13,80,3,595,176,0,1175,3656,0,0,,"{""cut_target"": 20, ""harmful_exit"": 67, ""neutral_exit"": 2514, ""no_active_exit"": 909, ""no_exit_replay"": 1175, ""saved_stop"": 35, ""timeout_improved"": 111}","{""candidate_after_baseline_exit"": 595, ""candidate_after_max_hold"": 176, ""delay_after_lifecycle_close"": 42, ""lifecycle_without_exit_replay"": 1175, ""no_candidate"": 80, ""none"": 2747, ""not_active_exit_eligible"": 3, ""stale_data_no_action"": 13}",False,True,False,"train,validation,holdout","{""holdout"": 0.2759168121924115, ""train"": 0.5685455810716771, ""validation"": 0.45561343233957663}",TARGET_CUT_RISK_UNRESOLVED,TARGET_CUT_RISK_UNRESOLVED / INCONCLUSIVE_RESEARCH
M8_DELAY_12000MS_CONFIRM,1000,-500,60000,3656,1175,2759,897,292,792,2572,-756770,-206.99398249452955,-202.0,-748453,-204.7190919037199,-202.0,8317,2.274890590809628,0.0,3.014498006524103,0.0,456,175,2128,0.722662440570523,631,0.6864643321540843,132,57455,71,58277,324,26598,0,0,84053,75736,0.6933363473046769,False,True,164.4,13,80,3,725,34,0,1175,3656,0,0,,"{""cut_target"": 71, ""harmful_exit"": 104, ""neutral_exit"": 2128, ""no_active_exit"": 897, ""no_exit_replay"": 1175, ""saved_stop"": 132, ""timeout_improved"": 324}","{""candidate_after_baseline_exit"": 725, ""candidate_after_max_hold"": 34, ""delay_after_lifecycle_close"": 42, ""lifecycle_without_exit_replay"": 1175, ""no_candidate"": 80, ""none"": 2759, ""not_active_exit_eligible"": 3, ""stale_data_no_action"": 13}",False,True,False,"train,validation,holdout","{""holdout"": 0.6201901601684641, ""train"": 0.7786394609042653, ""validation"": 0.6943552088113814}",TARGET_CUT_RISK_UNRESOLVED,TARGET_CUT_RISK_UNRESOLVED / INCONCLUSIVE_RESEARCH
M8_DELAY_12000MS_CONFIRM,1000,-500,120000,3656,1175,2759,897,316,909,2431,-797481,-218.1293763676149,-208.0,-748453,-204.7190919037199,-202.0,49028,13.410284463894968,0.0,17.770206596592967,0.0,719,186,1854,0.7944751381215469,905,0.7669300067288697,249,104886,95,81859,470,44457,0,0,149343,100315,0.5481274649632055,False,True,296.0,13,80,3,758,1,0,1175,3656,0,0,,"{""cut_target"": 95, ""harmful_exit"": 91, ""neutral_exit"": 1854, ""no_active_exit"": 897, ""no_exit_replay"": 1175, ""saved_stop"": 249, ""timeout_improved"": 470}","{""candidate_after_baseline_exit"": 758, ""candidate_after_max_hold"": 1, ""delay_after_lifecycle_close"": 42, ""lifecycle_without_exit_replay"": 1175, ""no_candidate"": 80, ""none"": 2759, ""not_active_exit_eligible"": 3, ""stale_data_no_action"": 13}",False,True,False,"train,validation,holdout","{""holdout"": 0.5258602409638554, ""train"": 0.5591074751861043, ""validation"": 0.5609580681719117}",TARGET_CUT_RISK_UNRESOLVED,TARGET_CUT_RISK_UNRESOLVED / INCONCLUSIVE_RESEARCH
M8_DELAY_12000MS_CONFIRM,1000,-300,30000,3656,1175,2654,1002,224,811,2621,-632217,-172.925875273523,-202.0,-631652,-172.77133479212256,-202.0,565,0.15454048140043763,0.0,0.21288620949510173,0.0,139,73,2442,0.6556603773584906,212,0.5894405269386312,48,14624,17,8645,91,4769,0,0,19393,18828,0.4457794049399268,False,True,57.1,13,80,3,688,176,0,1175,3656,0,0,,"{""cut_target"": 17, ""harmful_exit"": 56, ""neutral_exit"": 2442, ""no_active_exit"": 1002, ""no_exit_replay"": 1175, ""saved_stop"": 48, ""timeout_improved"": 91}","{""candidate_after_baseline_exit"": 688, ""candidate_after_max_hold"": 176, ""delay_after_lifecycle_close"": 42, ""lifecycle_without_exit_replay"": 1175, ""no_candidate"": 80, ""none"": 2654, ""not_active_exit_eligible"": 3, ""stale_data_no_action"": 13}",False,True,False,"train,validation,holdout","{""holdout"": 0.261443347996671, ""train"": 0.923372513562387, ""validation"": 0.36001829826166515}",TARGET_CUT_RISK_UNRESOLVED,TARGET_CUT_RISK_UNRESOLVED / INCONCLUSIVE_RESEARCH
M8_DELAY_12000MS_CONFIRM,1000,-300,60000,3656,1175,2665,991,266,923,2467,-628339,-171.86515317286654,-202.0,-634376,-173.5164113785558,-202.0,-6037,-1.651258205689278,0.0,-2.2652908067542215,0.0,431,155,2079,0.735494880546075,586,0.6983332850886369,155,37981,59,45750,276,16565,0,0,54546,60583,0.8387416125838741,False,True,182.6,13,80,3,819,34,0,1175,3656,0,0,,"{""cut_target"": 59, ""harmful_exit"": 96, ""neutral_exit"": 2079, ""no_active_exit"": 991, ""no_exit_replay"": 1175, ""saved_stop"": 155, ""timeout_improved"": 276}","{""candidate_after_baseline_exit"": 819, ""candidate_after_max_hold"": 34, ""delay_after_lifecycle_close"": 42, ""lifecycle_without_exit_replay"": 1175, ""no_candidate"": 80, ""none"": 2665, ""not_active_exit_eligible"": 3, ""stale_data_no_action"": 13}",False,True,False,"train,validation,holdout","{""holdout"": 0.6951491092176607, ""train"": 1.1235822306238186, ""validation"": 0.7293361631883033}",TARGET_CUT_RISK_UNRESOLVED,TARGET_CUT_RISK_UNRESOLVED / INCONCLUSIVE_RESEARCH
M8_DELAY_12000MS_CONFIRM,1000,-300,120000,3656,1175,2665,991,287,1074,2295,-644460,-176.2746170678337,-208.0,-634376,-173.5164113785558,-202.0,10084,2.7582056892778994,0.0,3.7838649155722326,0.0,685,166,1814,0.8049353701527615,851,0.7769668650381051,306,68012,80,65886,379,24969,0,0,92981,82897,0.7085963799055721,False,True,343.9,13,80,3,852,1,0,1175,3656,0,0,,"{""cut_target"": 80, ""harmful_exit"": 86, ""neutral_exit"": 1814, ""no_active_exit"": 991, ""no_exit_replay"": 1175, ""saved_stop"": 306, ""timeout_improved"": 379}","{""candidate_after_baseline_exit"": 852, ""candidate_after_max_hold"": 1, ""delay_after_lifecycle_close"": 42, ""lifecycle_without_exit_replay"": 1175, ""no_candidate"": 80, ""none"": 2665, ""not_active_exit_eligible"": 3, ""stale_data_no_action"": 13}",False,True,False,"train,validation,holdout","{""holdout"": 0.6561934477379096, ""train"": 0.7929497181797918, ""validation"": 0.6757653752370631}",TARGET_CUT_RISK_UNRESOLVED,TARGET_CUT_RISK_UNRESOLVED / INCONCLUSIVE_RESEARCH
