mask_name,target_bps,stop_bps,max_hold_ms,paired_delta_cost0,paired_delta_sum_cost0,paired_delta_avg_cost0,paired_delta_median_cost0,absolute_baseline_pnl_cost0,absolute_tsv2_pnl_cost0,paired_delta_cost50,paired_delta_sum_cost50,paired_delta_avg_cost50,paired_delta_median_cost50,absolute_baseline_pnl_cost50,absolute_tsv2_pnl_cost50,paired_delta_cost100,paired_delta_sum_cost100,paired_delta_avg_cost100,paired_delta_median_cost100,absolute_baseline_pnl_cost100,absolute_tsv2_pnl_cost100,paired_delta_cost150,paired_delta_sum_cost150,paired_delta_avg_cost150,paired_delta_median_cost150,absolute_baseline_pnl_cost150,absolute_tsv2_pnl_cost150,paired_delta_cost200,paired_delta_sum_cost200,paired_delta_avg_cost200,paired_delta_median_cost200,absolute_baseline_pnl_cost200,absolute_tsv2_pnl_cost200
M0_ALL,1500,-3000,60000,309533,309533,84.66438730853392,0.0,-1182185,-872652,309533,309533,84.66438730853392,0.0,-1364985,-1055452,309533,309533,84.66438730853392,0.0,-1547785,-1238252,309533,309533,84.66438730853392,0.0,-1730585,-1421052,309533,309533,84.66438730853392,0.0,-1913385,-1603852
M0_ALL,1500,-3000,120000,433221,433221,118.49589715536105,0.0,-1306193,-872972,433221,433221,118.49589715536105,0.0,-1488993,-1055772,433221,433221,118.49589715536105,0.0,-1671793,-1238572,433221,433221,118.49589715536105,0.0,-1854593,-1421372,433221,433221,118.49589715536105,0.0,-2037393,-1604172
M0_ALL,1500,-2000,30000,106237,106237,29.058260393873084,0.0,-839451,-733214,106237,106237,29.058260393873084,0.0,-1022251,-916014,106237,106237,29.058260393873084,0.0,-1205051,-1098814,106237,106237,29.058260393873084,0.0,-1387851,-1281614,106237,106237,29.058260393873084,0.0,-1570651,-1464414
M0_ALL,1500,-2000,60000,215390,215390,58.91411378555799,0.0,-944127,-728737,215390,215390,58.91411378555799,0.0,-1126927,-911537,215390,215390,58.91411378555799,0.0,-1309727,-1094337,215390,215390,58.91411378555799,0.0,-1492527,-1277137,215390,215390,58.91411378555799,0.0,-1675327,-1459937
M0_ALL,1500,-2000,120000,312831,312831,85.56646608315098,0.0,-1040613,-727782,312831,312831,85.56646608315098,0.0,-1223413,-910582,312831,312831,85.56646608315098,0.0,-1406213,-1093382,312831,312831,85.56646608315098,0.0,-1589013,-1276182,312831,312831,85.56646608315098,0.0,-1771813,-1458982
M0_ALL,1500,-1500,30000,100682,100682,27.538840262582056,0.0,-730067,-629385,100682,100682,27.538840262582056,0.0,-912867,-812185,100682,100682,27.538840262582056,0.0,-1095667,-994985,100682,100682,27.538840262582056,0.0,-1278467,-1177785,100682,100682,27.538840262582056,0.0,-1461267,-1360585
M0_ALL,1500,-1500,60000,160599,160599,43.927516411378555,0.0,-784400,-623801,160599,160599,43.927516411378555,0.0,-967200,-806601,160599,160599,43.927516411378555,0.0,-1150000,-989401,160599,160599,43.927516411378555,0.0,-1332800,-1172201,160599,160599,43.927516411378555,0.0,-1515600,-1355001
M0_ALL,1500,-1500,120000,249559,249559,68.2601203501094,0.0,-872596,-623037,249559,249559,68.2601203501094,0.0,-1055396,-805837,249559,249559,68.2601203501094,0.0,-1238196,-988637,249559,249559,68.2601203501094,0.0,-1420996,-1171437,249559,249559,68.2601203501094,0.0,-1603796,-1354237
M0_ALL,1500,-1000,30000,52603,52603,14.388129102844639,0.0,-561170,-508567,52603,52603,14.388129102844639,0.0,-743970,-691367,52603,52603,14.388129102844639,0.0,-926770,-874167,52603,52603,14.388129102844639,0.0,-1109570,-1056967,52603,52603,14.388129102844639,0.0,-1292370,-1239767
M0_ALL,1500,-1000,60000,89282,89282,24.420678336980306,0.0,-592649,-503367,89282,89282,24.420678336980306,0.0,-775449,-686167,89282,89282,24.420678336980306,0.0,-958249,-868967,89282,89282,24.420678336980306,0.0,-1141049,-1051767,89282,89282,24.420678336980306,0.0,-1323849,-1234567
