view,mask_name,target_bps,stop_bps,max_hold_ms,bucket_dimension,bucket_value,total_actions,beneficial_exit_count,harmful_exit_count,neutral_exit_count,exit_action_precision,exit_action_precision_wilson95_lower,saved_stop_count,timeout_improved_count,target_cut_count,target_cut_damage_bps,gross_saved_damage_bps,target_cut_damage_ratio,delta_sum_bps,delta_avg_bps,delta_median_bps,max_consecutive_harmful_actions
canonical,M0_ALL,6000,-6000,120000,candidate_window_count_before_action_bucket,3,4618,1567,581,2470,0.7295158286778398,0.7103330535808028,98,1469,129,727379,1790113,0.40633133215612643,426059,92.26050238198354,0.0,4
canonical,M0_ALL,6000,-6000,120000,pre_entry_overextension_buckets,missing evidence: field unavailable,4618,1567,581,2470,0.7295158286778398,0.7103330535808028,98,1469,129,727379,1790113,0.40633133215612643,426059,92.26050238198354,0.0,4
canonical,M0_ALL,6000,-6000,120000,pre_entry_organicity_buckets,missing evidence: field unavailable,4618,1567,581,2470,0.7295158286778398,0.7103330535808028,98,1469,129,727379,1790113,0.40633133215612643,426059,92.26050238198354,0.0,4
canonical,M0_ALL,6000,-6000,120000,execution_toxicity_buckets,missing evidence: field unavailable,4618,1567,581,2470,0.7295158286778398,0.7103330535808028,98,1469,129,727379,1790113,0.40633133215612643,426059,92.26050238198354,0.0,4
canonical,M0_ALL,6000,-6000,120000,chronological_tercile,holdout,1540,478,156,906,0.7539432176656151,0.7189532893322834,26,452,37,223603,476030,0.4697245971892528,98635,64.0487012987013,0.0,2
canonical,M0_ALL,6000,-6000,120000,chronological_tercile,train,1550,553,216,781,0.7191157347204161,0.686321997493627,35,518,38,220836,700192,0.3153934920707463,233258,150.48903225806453,0.0,4
canonical,M0_ALL,6000,-6000,120000,chronological_tercile,validation,1528,536,209,783,0.7194630872483222,0.686140072784427,37,499,54,282940,613891,0.46089615257431693,94166,61.62696335078534,0.0,3
canonical,M1_NEGATIVE_OR_FLAT_ONLY,6000,-6000,120000,candidate_class,heartbeat_only_candidate,3,1,1,1,0.5,0.09453120573423071,0,1,0,0,1,0.0,-1703,-567.6666666666666,0.0,1
canonical,M1_NEGATIVE_OR_FLAT_ONLY,6000,-6000,120000,candidate_class,no_progress_with_volume_candidate,237,127,72,38,0.6381909547738693,0.569394190727381,15,112,17,113996,190827,0.5973787776362883,-9155,-38.628691983122366,14.0,3
canonical,M1_NEGATIVE_OR_FLAT_ONLY,6000,-6000,120000,candidate_class,weak_no_progress_candidate,4005,1255,329,2421,0.7922979797979798,0.7716252533452675,64,1191,46,323445,1016331,0.3182476968625379,335350,83.73283395755305,0.0,2
canonical,M1_NEGATIVE_OR_FLAT_ONLY,6000,-6000,120000,candidate_age_ms_bucket,000000-015000ms,4047,1278,351,2418,0.7845303867403315,0.7639075208264527,53,1225,55,381278,1014130,0.3759656059873981,267132,66.00741289844329,0.0,3
