target_bps,stop_bps,max_hold_ms,total_positions,eligible_positions,baseline_target_count,baseline_stop_count,baseline_timeout_count,baseline_sum_pnl_bps,baseline_avg_pnl_bps,tsv2_target_count,tsv2_stop_count,tsv2_timeout_count,tsv2_exit_count,tsv2_sum_pnl_bps,tsv2_avg_pnl_bps,pnl_delta_sum_bps,pnl_delta_avg_bps,targets_cut_by_tsv2,stops_saved_by_tsv2,timeouts_cut_by_tsv2,beneficial_tsv2_exits,harmful_tsv2_exits,neutral_tsv2_exits,target_cut_rate_over_baseline_targets,beneficial_rate_over_tsv2_exits,harmful_rate_over_tsv2_exits,delta_vs_baseline_sum_pct,tsv2_exit_rate,exact_rows,path_approx_rows,unsupported_rows
1000,-300,60000,648,625,49,186,413,-37127,-57.29475308641975,29,117,6,496,-44433,-68.56944444444444,-7306,-14.72983870967742,20,69,407,123,60,313,0.40816326530612246,0.24798387096774194,0.12096774193548387,-19.67840116357368,0.7654320987654321,648,0,0
1000,-300,120000,648,625,60,208,380,-36672,-56.592592592592595,29,117,6,496,-44433,-68.56944444444444,-7761,-15.647177419354838,31,91,374,159,62,275,0.5166666666666667,0.32056451612903225,0.125,-21.163285340314136,0.7654320987654321,648,0,0
1000,-200,30000,648,625,36,184,428,-25939,-40.02932098765432,28,129,7,484,-32853,-50.699074074074076,-6914,-14.285123966942148,8,55,421,79,45,360,0.2222222222222222,0.16322314049586778,0.09297520661157024,-26.654844057211147,0.7469135802469136,648,0,0
1000,-200,60000,648,625,48,217,383,-19418,-29.96604938271605,28,129,6,485,-33616,-51.876543209876544,-14198,-29.27422680412371,20,88,377,119,56,310,0.4166666666666667,0.24536082474226803,0.1154639175257732,-73.11772582140283,0.7484567901234568,648,0,0
1000,-200,120000,648,625,57,248,343,-17873,-27.58179012345679,28,129,6,485,-33616,-51.876543209876544,-15743,-32.45979381443299,29,119,337,153,58,274,0.5087719298245614,0.3154639175257732,0.11958762886597939,-88.08258266659207,0.7484567901234568,648,0,0
1500,-6000,30000,648,625,45,8,595,-192596,-297.21604938271605,28,4,13,603,-173970,-268.47222222222223,18626,30.88888888888889,17,4,582,126,81,396,0.37777777777777777,0.208955223880597,0.13432835820895522,9.67102120500945,0.9305555555555556,648,0,0
1500,-6000,60000,648,625,69,9,570,-205928,-317.7901234567901,30,4,6,608,-174068,-268.62345679012344,31860,52.401315789473685,39,5,564,165,106,337,0.5652173913043478,0.2713815789473684,0.17434210526315788,15.471426906491589,0.9382716049382716,648,0,0
1500,-6000,120000,648,625,91,12,545,-251627,-388.3132716049383,30,4,6,608,-174068,-268.62345679012344,77559,127.56414473684211,61,8,539,209,106,293,0.6703296703296703,0.34375,0.17434210526315788,30.823003890679455,0.9382716049382716,648,0,0
1500,-5000,30000,648,625,45,14,589,-183472,-283.1358024691358,28,5,13,602,-169672,-261.8395061728395,13800,22.92358803986711,17,9,576,126,80,396,0.37777777777777777,0.20930232558139536,0.132890365448505,7.521583674893171,0.9290123456790124,648,0,0
1500,-5000,60000,648,625,69,18,561,-196082,-302.59567901234567,30,5,6,607,-169770,-261.99074074074076,26312,43.34761120263592,39,13,555,165,105,337,0.5652173913043478,0.27182866556836904,0.17298187808896212,13.418875776460867,0.9367283950617284,648,0,0
1500,-5000,120000,648,625,91,28,529,-243034,-375.0524691358025,30,5,6,607,-169770,-261.99074074074076,73264,120.69851729818781,61,23,523,210,104,293,0.6703296703296703,0.34596375617792424,0.171334431630972,30.145576339113045,0.9367283950617284,648,0,0
1500,-3000,30000,648,625,43,32,573,-158608,-244.76543209876544,28,20,12,588,-141291,-218.04166666666666,17317,29.450680272108844,15,12,561,118,76,394,0.3488372093023256,0.20068027210884354,0.1292517006802721,10.918112579441138,0.9074074074074074,648,0,0
1500,-3000,60000,648,625,67,43,538,-154481,-238.3966049382716,30,21,6,591,-139655,-215.51697530864197,14826,25.086294416243653,37,22,532,155,101,335,0.5522388059701493,0.2622673434856176,0.17089678510998307,9.597296754940738,0.9120370370370371,648,0,0
