mask_name,target_bps,stop_bps,max_hold_ms,paired_delta_cost0,paired_delta_sum_cost0,paired_delta_avg_cost0,paired_delta_median_cost0,absolute_baseline_pnl_cost0,absolute_tsv2_pnl_cost0,paired_delta_cost50,paired_delta_sum_cost50,paired_delta_avg_cost50,paired_delta_median_cost50,absolute_baseline_pnl_cost50,absolute_tsv2_pnl_cost50,paired_delta_cost100,paired_delta_sum_cost100,paired_delta_avg_cost100,paired_delta_median_cost100,absolute_baseline_pnl_cost100,absolute_tsv2_pnl_cost100,paired_delta_cost150,paired_delta_sum_cost150,paired_delta_avg_cost150,paired_delta_median_cost150,absolute_baseline_pnl_cost150,absolute_tsv2_pnl_cost150,paired_delta_cost200,paired_delta_sum_cost200,paired_delta_avg_cost200,paired_delta_median_cost200,absolute_baseline_pnl_cost200,absolute_tsv2_pnl_cost200
M0_ALL,2000,-6000,30000,172855,172855,36.405855096882895,0.0,-1319908,-1147053,172855,172855,36.405855096882895,0.0,-1557308,-1384453,172855,172855,36.405855096882895,0.0,-1794708,-1621853,172855,172855,36.405855096882895,0.0,-2032108,-1859253,172855,172855,36.405855096882895,0.0,-2269508,-2096653
M0_ALL,2000,-6000,60000,368029,368029,77.51242628475147,0.0,-1522725,-1154696,368029,368029,77.51242628475147,0.0,-1760125,-1392096,368029,368029,77.51242628475147,0.0,-1997525,-1629496,368029,368029,77.51242628475147,0.0,-2234925,-1866896,368029,368029,77.51242628475147,0.0,-2472325,-2104296
M0_ALL,2000,-6000,120000,616679,616679,129.8818449873631,0.0,-1763077,-1146398,616679,616679,129.8818449873631,0.0,-2000477,-1383798,616679,616679,129.8818449873631,0.0,-2237877,-1621198,616679,616679,129.8818449873631,0.0,-2475277,-1858598,616679,616679,129.8818449873631,0.0,-2712677,-2095998
M0_ALL,2000,-5000,30000,164030,164030,34.547177759056446,0.0,-1277283,-1113253,164030,164030,34.547177759056446,0.0,-1514683,-1350653,164030,164030,34.547177759056446,0.0,-1752083,-1588053,164030,164030,34.547177759056446,0.0,-1989483,-1825453,164030,164030,34.547177759056446,0.0,-2226883,-2062853
M0_ALL,2000,-5000,60000,327529,327529,68.98251895534962,0.0,-1449438,-1121909,327529,327529,68.98251895534962,0.0,-1686838,-1359309,327529,327529,68.98251895534962,0.0,-1924238,-1596709,327529,327529,68.98251895534962,0.0,-2161638,-1834109,327529,327529,68.98251895534962,0.0,-2399038,-2071509
M0_ALL,2000,-5000,120000,575330,575330,121.17312552653749,0.0,-1688941,-1113611,575330,575330,121.17312552653749,0.0,-1926341,-1351011,575330,575330,121.17312552653749,0.0,-2163741,-1588411,575330,575330,121.17312552653749,0.0,-2401141,-1825811,575330,575330,121.17312552653749,0.0,-2638541,-2063211
M0_ALL,2000,-3000,30000,96606,96606,20.346672283066553,0.0,-1091072,-994466,96606,96606,20.346672283066553,0.0,-1328472,-1231866,96606,96606,20.346672283066553,0.0,-1565872,-1469266,96606,96606,20.346672283066553,0.0,-1803272,-1706666,96606,96606,20.346672283066553,0.0,-2040672,-1944066
M0_ALL,2000,-3000,60000,168252,168252,35.436394271272114,0.0,-1157748,-989496,168252,168252,35.436394271272114,0.0,-1395148,-1226896,168252,168252,35.436394271272114,0.0,-1632548,-1464296,168252,168252,35.436394271272114,0.0,-1869948,-1701696,168252,168252,35.436394271272114,0.0,-2107348,-1939096
M0_ALL,2000,-3000,120000,332222,332222,69.9709351305813,0.0,-1317563,-985341,332222,332222,69.9709351305813,0.0,-1554963,-1222741,332222,332222,69.9709351305813,0.0,-1792363,-1460141,332222,332222,69.9709351305813,0.0,-2029763,-1697541,332222,332222,69.9709351305813,0.0,-2267163,-1934941
M0_ALL,2000,-2000,30000,33307,33307,7.0149536647009265,0.0,-882974,-849667,33307,33307,7.0149536647009265,0.0,-1120374,-1087067,33307,33307,7.0149536647009265,0.0,-1357774,-1324467,33307,33307,7.0149536647009265,0.0,-1595174,-1561867,33307,33307,7.0149536647009265,0.0,-1832574,-1799267
M0_ALL,2000,-2000,60000,61462,61462,12.944818871103623,0.0,-903190,-841728,61462,61462,12.944818871103623,0.0,-1140590,-1079128,61462,61462,12.944818871103623,0.0,-1377990,-1316528,61462,61462,12.944818871103623,0.0,-1615390,-1553928,61462,61462,12.944818871103623,0.0,-1852790,-1791328
M0_ALL,2000,-2000,120000,165628,165628,34.88374052232519,0.0,-1006057,-840429,165628,165628,34.88374052232519,0.0,-1243457,-1077829,165628,165628,34.88374052232519,0.0,-1480857,-1315229,165628,165628,34.88374052232519,0.0,-1718257,-1552629,165628,165628,34.88374052232519,0.0,-1955657,-1790029
M0_ALL,2000,-1500,30000,1783,1783,0.37552653748946924,0.0,-726870,-725087,1783,1783,0.37552653748946924,0.0,-964270,-962487,1783,1783,0.37552653748946924,0.0,-1201670,-1199887,1783,1783,0.37552653748946924,0.0,-1439070,-1437287,1783,1783,0.37552653748946924,0.0,-1676470,-1674687
