target_bps,stop_bps,max_hold_ms,segment,roundtrip_cost_bps,supported_rows,unsupported_rows,action_taken_count,no_action_count,baseline_target_count,baseline_stop_count,baseline_timeout_count,baseline_sum_after_cost_bps,baseline_avg_after_cost_bps,baseline_median_after_cost_bps,tsv2_sum_after_cost_bps,tsv2_avg_after_cost_bps,tsv2_median_after_cost_bps,delta_sum_bps,delta_avg_bps,delta_median_bps,action_delta_avg_bps,action_delta_median_bps,beneficial_exit_count,harmful_exit_count,neutral_exit_count,exit_action_precision,exit_action_precision_denominator,exit_action_precision_wilson95_lower,saved_stop_count,saved_stop_damage_bps,target_cut_count,target_cut_damage_bps,timeout_improved_count,timeout_improved_bps,generic_beneficial_count,generic_beneficial_bps,gross_saved_damage_bps,harmful_damage_bps,target_cut_damage_guard_pass,target_cut_count_guard_pass,target_cut_count_guard_limit,stale_no_action_exclusions,no_candidate_exclusions,not_active_exit_eligible_exclusions,candidate_after_baseline_exclusions,candidate_after_max_hold_exclusions,ambiguous_unjoined_exclusions,lifecycle_without_exit_replay_exclusions,exact_rows,path_approx_rows,baseline_unavailable_rows,max_consecutive_harmful_actions,classification_counts,exclusion_counts
1000,-5000,30000,holdout,100,1026,0,924,102,104,21,901,-406506,-396.2046783625731,-202.0,-363459,-354.2485380116959,-202.0,43047,41.95614035087719,0.0,46.58766233766234,0.0,160,96,668,0.625,256,0.5642590524289498,6,16319,33,35976,154,87759,0,0,104078,61031,False,False,21.4,1,30,1,37,33,0,0,1026,0,0,2,"{""cut_target"": 33, ""harmful_exit"": 63, ""neutral_exit"": 668, ""no_active_exit"": 102, ""saved_stop"": 6, ""timeout_improved"": 154}","{""candidate_after_baseline_exit"": 37, ""candidate_after_max_hold"": 33, ""no_candidate"": 30, ""none"": 924, ""not_active_exit_eligible"": 1, ""stale_data_no_action"": 1}"
1000,-5000,60000,train,100,1027,0,943,84,150,30,847,-455901,-443.91528724440116,-202.0,-387719,-377.5258033106134,-202.0,68182,66.38948393378773,0.0,72.3032873806999,0.0,241,159,543,0.6025,400,0.5537852193447489,21,53910,81,113060,220,155769,0,0,209679,141497,False,False,43.0,6,20,0,57,1,0,0,1027,0,0,3,"{""cut_target"": 81, ""harmful_exit"": 78, ""neutral_exit"": 543, ""no_active_exit"": 84, ""saved_stop"": 21, ""timeout_improved"": 220}","{""candidate_after_baseline_exit"": 57, ""candidate_after_max_hold"": 1, ""no_candidate"": 20, ""none"": 943, ""stale_data_no_action"": 6}"
1000,-5000,60000,validation,100,1026,0,929,97,135,40,851,-463901,-452.14522417153995,-202.0,-332153,-323.73586744639374,-202.0,131748,128.4093567251462,0.0,141.81700753498384,0.0,207,103,619,0.667741935483871,310,0.6135366473773711,29,91586,50,55516,178,113278,0,0,204864,73116,False,False,46.8,1,24,0,68,4,0,0,1026,0,0,2,"{""cut_target"": 50, ""harmful_exit"": 53, ""neutral_exit"": 619, ""no_active_exit"": 97, ""saved_stop"": 29, ""timeout_improved"": 178}","{""candidate_after_baseline_exit"": 68, ""candidate_after_max_hold"": 4, ""no_candidate"": 24, ""none"": 929, ""stale_data_no_action"": 1}"
1000,-5000,60000,holdout,100,1026,0,932,94,142,26,858,-427273,-416.44541910331384,-202.0,-359469,-350.359649122807,-202.0,67804,66.08576998050683,0.0,72.7510729613734,0.0,221,132,579,0.6260623229461756,353,0.5744851537997745,10,31295,66,80281,211,138402,0,0,169697,101893,False,False,31.1,1,30,1,57,5,0,0,1026,0,0,3,"{""cut_target"": 66, ""harmful_exit"": 66, ""neutral_exit"": 579, ""no_active_exit"": 94, ""saved_stop"": 10, ""timeout_improved"": 211}","{""candidate_after_baseline_exit"": 57, ""candidate_after_max_hold"": 5, ""no_candidate"": 30, ""none"": 932, ""not_active_exit_eligible"": 1, ""stale_data_no_action"": 1}"
1000,-5000,120000,train,100,1027,0,943,84,179,38,810,-511396,-497.95131450827654,-202.0,-387719,-377.5258033106134,-202.0,123677,120.4255111976631,0.0,131.152704135737,0.0,306,163,474,0.652452025586354,469,0.6082743952004066,29,85304,110,145512,277,198674,0,0,283978,160301,False,False,56.7,6,20,0,58,0,0,0,1027,0,0,3,"{""cut_target"": 110, ""harmful_exit"": 53, ""neutral_exit"": 474, ""no_active_exit"": 84, ""saved_stop"": 29, ""timeout_improved"": 277}","{""candidate_after_baseline_exit"": 58, ""no_candidate"": 20, ""none"": 943, ""stale_data_no_action"": 6}"
1000,-5000,120000,validation,100,1026,0,929,97,153,50,823,-508325,-495.4434697855751,-202.0,-332153,-323.73586744639374,-202.0,176172,171.70760233918128,0.0,189.63616792249732,0.0,291,104,534,0.7367088607594937,395,0.6911459919661586,39,127005,68,78928,252,137576,0,0,264581,88409,False,False,64.2,1,24,0,72,0,0,0,1026,0,0,2,"{""cut_target"": 68, ""harmful_exit"": 36, ""neutral_exit"": 534, ""no_active_exit"": 97, ""saved_stop"": 39, ""timeout_improved"": 252}","{""candidate_after_baseline_exit"": 72, ""no_candidate"": 24, ""none"": 929, ""stale_data_no_action"": 1}"
1000,-5000,120000,holdout,100,1026,0,932,94,165,28,833,-468464,-456.5925925925926,-202.0,-358846,-349.7524366471735,-202.0,109618,106.8401559454191,0.0,117.61587982832619,0.0,311,129,492,0.7068181818181818,440,0.6626400491116134,12,38922,89,109661,299,194850,0,0,233772,124154,False,False,41.900000000000006,1,30,1,61,1,0,0,1026,0,0,3,"{""cut_target"": 89, ""harmful_exit"": 40, ""neutral_exit"": 492, ""no_active_exit"": 94, ""saved_stop"": 12, ""timeout_improved"": 299}","{""candidate_after_baseline_exit"": 61, ""candidate_after_max_hold"": 1, ""no_candidate"": 30, ""none"": 932, ""not_active_exit_eligible"": 1, ""stale_data_no_action"": 1}"
1000,-6000,30000,train,100,1027,0,939,88,110,13,904,-434422,-423.00097370983445,-202.0,-395590,-385.1898734177215,-202.0,38832,37.81110029211295,0.0,41.35463258785943,0.0,183,132,624,0.580952380952381,315,0.5258102661113919,5,19999,42,59469,178,118090,0,0,138089,99257,False,False,22.8,6,20,0,41,21,0,0,1027,0,0,3,"{""cut_target"": 42, ""harmful_exit"": 90, ""neutral_exit"": 624, ""no_active_exit"": 88, ""saved_stop"": 5, ""timeout_improved"": 178}","{""candidate_after_baseline_exit"": 41, ""candidate_after_max_hold"": 21, ""no_candidate"": 20, ""none"": 939, ""stale_data_no_action"": 6}"
1000,-6000,30000,validation,100,1026,0,925,101,107,11,908,-418134,-407.53801169590645,-202.0,-330961,-322.5740740740741,-202.0,87173,84.96393762183236,0.0,94.24108108108108,0.0,140,76,709,0.6481481481481481,216,0.5823800816986147,5,16793,23,25716,135,113064,0,0,129857,42684,True,False,18.5,1,24,0,45,31,0,0,1026,0,0,3,"{""cut_target"": 23, ""harmful_exit"": 53, ""neutral_exit"": 709, ""no_active_exit"": 101, ""saved_stop"": 5, ""timeout_improved"": 135}","{""candidate_after_baseline_exit"": 45, ""candidate_after_max_hold"": 31, ""no_candidate"": 24, ""none"": 925, ""stale_data_no_action"": 1}"
1000,-6000,30000,holdout,100,1026,0,930,96,104,10,912,-414275,-403.7768031189084,-202.0,-369066,-359.7134502923977,-202.0,45209,44.06335282651072,0.0,48.611827956989245,0.0,165,97,668,0.6297709923664122,262,0.5698206992748139,3,2225,33,35976,162,105328,0,0,107553,62344,False,False,19.2,1,30,1,31,33,0,0,1026,0,0,2,"{""cut_target"": 33, ""harmful_exit"": 64, ""neutral_exit"": 668, ""no_active_exit"": 96, ""saved_stop"": 3, ""timeout_improved"": 162}","{""candidate_after_baseline_exit"": 31, ""candidate_after_max_hold"": 33, ""no_candidate"": 30, ""none"": 930, ""not_active_exit_eligible"": 1, ""stale_data_no_action"": 1}"
1000,-6000,60000,train,100,1027,0,944,83,150,15,862,-466733,-454.4625121713729,-202.0,-396017,-385.6056475170399,-202.0,70716,68.85686465433301,0.0,74.91101694915254,0.0,239,162,543,0.5960099750623441,401,0.547291398689102,7,31733,81,113060,232,184981,0,0,216714,145998,False,False,30.200000000000003,6,20,0,56,1,0,0,1027,0,0,3,"{""cut_target"": 81, ""harmful_exit"": 81, ""neutral_exit"": 543, ""no_active_exit"": 83, ""saved_stop"": 7, ""timeout_improved"": 232}","{""candidate_after_baseline_exit"": 56, ""candidate_after_max_hold"": 1, ""no_candidate"": 20, ""none"": 944, ""stale_data_no_action"": 6}"
1000,-6000,60000,validation,100,1026,0,934,92,135,22,869,-490418,-477.99025341130607,-202.0,-339288,-330.6900584795322,-202.0,151130,147.3001949317739,0.0,161.80942184154176,0.0,211,104,619,0.6698412698412698,315,0.6161356322108545,16,61702,50,55516,195,164068,0,0,225770,74640,True,False,35.5,1,24,0,63,4,0,0,1026,0,0,2,"{""cut_target"": 50, ""harmful_exit"": 54, ""neutral_exit"": 619, ""no_active_exit"": 92, ""saved_stop"": 16, ""timeout_improved"": 195}","{""candidate_after_baseline_exit"": 63, ""candidate_after_max_hold"": 4, ""no_candidate"": 24, ""none"": 934, ""stale_data_no_action"": 1}"
1000,-6000,60000,holdout,100,1026,0,939,87,143,16,867,-437424,-426.3391812865497,-202.0,-364105,-354.87816764132555,-202.0,73319,71.46101364522417,0.0,78.08200212992546,0.0,227,133,579,0.6305555555555555,360,0.579564092154814,8,20309,66,80281,219,156216,0,0,176525,103206,False,False,29.900000000000002,1,30,1,50,5,0,0,1026,0,0,3,"{""cut_target"": 66, ""harmful_exit"": 67, ""neutral_exit"": 579, ""no_active_exit"": 87, ""saved_stop"": 8, ""timeout_improved"": 219}","{""candidate_after_baseline_exit"": 50, ""candidate_after_max_hold"": 5, ""no_candidate"": 30, ""none"": 939, ""not_active_exit_eligible"": 1, ""stale_data_no_action"": 1}"
