target_bps,stop_bps,max_hold_ms,cost100_supported_rows,cost100_unsupported_rows,cost100_action_taken_count,cost100_no_action_count,cost100_baseline_target_count,cost100_baseline_stop_count,cost100_baseline_timeout_count,cost100_baseline_sum_after_cost_bps,cost100_baseline_avg_after_cost_bps,cost100_baseline_median_after_cost_bps,cost100_tsv2_sum_after_cost_bps,cost100_tsv2_avg_after_cost_bps,cost100_tsv2_median_after_cost_bps,cost100_delta_sum_bps,cost100_delta_avg_bps,cost100_delta_median_bps,cost100_action_delta_avg_bps,cost100_action_delta_median_bps,cost100_beneficial_exit_count,cost100_harmful_exit_count,cost100_neutral_exit_count,cost100_exit_action_precision,cost100_exit_action_precision_denominator,cost100_exit_action_precision_wilson95_lower,cost100_saved_stop_count,cost100_saved_stop_damage_bps,cost100_target_cut_count,cost100_target_cut_damage_bps,cost100_timeout_improved_count,cost100_timeout_improved_bps,cost100_generic_beneficial_count,cost100_generic_beneficial_bps,cost100_gross_saved_damage_bps,cost100_harmful_damage_bps,cost100_target_cut_damage_guard_pass,cost100_target_cut_count_guard_pass,cost100_target_cut_count_guard_limit,cost100_stale_no_action_exclusions,cost100_no_candidate_exclusions,cost100_not_active_exit_eligible_exclusions,cost100_candidate_after_baseline_exclusions,cost100_candidate_after_max_hold_exclusions,cost100_ambiguous_unjoined_exclusions,cost100_lifecycle_without_exit_replay_exclusions,cost100_exact_rows,cost100_path_approx_rows,cost100_baseline_unavailable_rows,cost100_max_consecutive_harmful_actions,cost100_classification_counts,cost100_exclusion_counts
2000,-200,120000,3079,515,2385,694,193,1151,1735,-260364,-84.5612211757064,-205.0,-366589,-119.06105878531991,-202.0,-106225,-34.49983760961351,0.0,-44.538784067085956,0.0,746,231,1408,0.7635619242579325,977,0.7359189729198494,549,111568,109,167235,197,8455,0,0,120023,226248,False,True,568.7,8,74,1,610,1,0,515,3079,0,0,3,"{""cut_target"": 109, ""harmful_exit"": 122, ""neutral_exit"": 1408, ""no_active_exit"": 694, ""no_exit_replay"": 515, ""saved_stop"": 549, ""timeout_improved"": 197}","{""candidate_after_baseline_exit"": 610, ""candidate_after_max_hold"": 1, ""lifecycle_without_exit_replay"": 515, ""no_candidate"": 74, ""none"": 2385, ""not_active_exit_eligible"": 1, ""stale_data_no_action"": 8}"
2000,-300,30000,3079,515,2432,647,130,729,2220,-377042,-122.45599220526145,-202.0,-420236,-136.48457291328353,-202.0,-43194,-14.028580708022085,0.0,-17.760690789473685,0.0,356,200,1876,0.6402877697841727,556,0.5995595118013324,186,61952,50,76550,170,23089,0,0,85041,128235,False,True,203.0,8,74,1,479,85,0,515,3079,0,0,2,"{""cut_target"": 50, ""harmful_exit"": 150, ""neutral_exit"": 1876, ""no_active_exit"": 647, ""no_exit_replay"": 515, ""saved_stop"": 186, ""timeout_improved"": 170}","{""candidate_after_baseline_exit"": 479, ""candidate_after_max_hold"": 85, ""lifecycle_without_exit_replay"": 515, ""no_candidate"": 74, ""none"": 2432, ""not_active_exit_eligible"": 1, ""stale_data_no_action"": 8}"
2000,-300,60000,3079,515,2443,636,172,842,2065,-327686,-106.42611237414745,-202.0,-420273,-136.49658980188372,-202.0,-92587,-30.07047742773628,0.0,-37.898894801473595,0.0,535,264,1644,0.6695869837296621,799,0.6362293387567394,298,98314,88,134081,237,24212,0,0,122526,215113,False,True,321.7,8,74,1,543,10,0,515,3079,0,0,3,"{""cut_target"": 88, ""harmful_exit"": 176, ""neutral_exit"": 1644, ""no_active_exit"": 636, ""no_exit_replay"": 515, ""saved_stop"": 298, ""timeout_improved"": 237}","{""candidate_after_baseline_exit"": 543, ""candidate_after_max_hold"": 10, ""lifecycle_without_exit_replay"": 515, ""no_candidate"": 74, ""none"": 2443, ""not_active_exit_eligible"": 1, ""stale_data_no_action"": 8}"
2000,-300,120000,3079,515,2443,636,209,999,1871,-330590,-107.36927573887625,-204.0,-420273,-136.49658980188372,-202.0,-89683,-29.12731406300747,0.0,-36.71019238641015,0.0,769,251,1423,0.753921568627451,1020,0.7265682071140421,455,144698,125,200099,314,25737,0,0,170435,260118,False,True,486.4,8,74,1,552,1,0,515,3079,0,0,3,"{""cut_target"": 125, ""harmful_exit"": 126, ""neutral_exit"": 1423, ""no_active_exit"": 636, ""no_exit_replay"": 515, ""saved_stop"": 455, ""timeout_improved"": 314}","{""candidate_after_baseline_exit"": 552, ""candidate_after_max_hold"": 1, ""lifecycle_without_exit_replay"": 515, ""no_candidate"": 74, ""none"": 2443, ""not_active_exit_eligible"": 1, ""stale_data_no_action"": 8}"
2000,-500,30000,3079,515,2506,573,139,629,2311,-478256,-155.328353361481,-202.0,-497679,-161.63657031503735,-202.0,-19423,-6.308216953556349,0.0,-7.750598563447725,0.0,389,214,1903,0.6451077943615257,603,0.6061088493010144,170,80313,51,78567,219,38570,0,0,118883,138306,False,True,191.9,8,74,1,405,85,0,515,3079,0,0,3,"{""cut_target"": 51, ""harmful_exit"": 163, ""neutral_exit"": 1903, ""no_active_exit"": 573, ""no_exit_replay"": 515, ""saved_stop"": 170, ""timeout_improved"": 219}","{""candidate_after_baseline_exit"": 405, ""candidate_after_max_hold"": 85, ""lifecycle_without_exit_replay"": 515, ""no_candidate"": 74, ""none"": 2506, ""not_active_exit_eligible"": 1, ""stale_data_no_action"": 8}"
2000,-500,60000,3079,515,2518,561,186,727,2166,-432918,-140.60344267619357,-202.0,-498416,-161.87593374472232,-202.0,-65498,-21.272491068528744,0.0,-26.01191421763304,0.0,573,283,1662,0.669392523364486,856,0.6371827871826914,267,132693,94,146598,306,41455,0,0,174148,239646,False,True,297.6,8,74,1,468,10,0,515,3079,0,0,3,"{""cut_target"": 94, ""harmful_exit"": 189, ""neutral_exit"": 1662, ""no_active_exit"": 561, ""no_exit_replay"": 515, ""saved_stop"": 267, ""timeout_improved"": 306}","{""candidate_after_baseline_exit"": 468, ""candidate_after_max_hold"": 10, ""lifecycle_without_exit_replay"": 515, ""no_candidate"": 74, ""none"": 2518, ""not_active_exit_eligible"": 1, ""stale_data_no_action"": 8}"
2000,-500,120000,3079,515,2518,561,226,867,1986,-457898,-148.71646638519,-203.0,-497793,-161.67359532315686,-202.0,-39895,-12.957128937966873,0.0,-15.843923749007148,0.0,810,273,1435,0.7479224376731302,1083,0.7212169820157011,407,200455,134,218255,403,51723,0,0,252178,292073,False,True,447.3,8,74,1,477,1,0,515,3079,0,0,3,"{""cut_target"": 134, ""harmful_exit"": 139, ""neutral_exit"": 1435, ""no_active_exit"": 561, ""no_exit_replay"": 515, ""saved_stop"": 407, ""timeout_improved"": 403}","{""candidate_after_baseline_exit"": 477, ""candidate_after_max_hold"": 1, ""lifecycle_without_exit_replay"": 515, ""no_candidate"": 74, ""none"": 2518, ""not_active_exit_eligible"": 1, ""stale_data_no_action"": 8}"
2000,-700,30000,3079,515,2567,512,146,526,2407,-560256,-181.96037674569666,-202.0,-576438,-187.21597921403054,-202.0,-16182,-5.2556024683338745,0.0,-6.303856641994546,0.0,394,231,1942,0.6304,625,0.5918680644315558,132,87190,56,90340,262,57995,0,0,145185,161367,False,True,158.2,8,74,1,344,85,0,515,3079,0,0,3,"{""cut_target"": 56, ""harmful_exit"": 175, ""neutral_exit"": 1942, ""no_active_exit"": 512, ""no_exit_replay"": 515, ""saved_stop"": 132, ""timeout_improved"": 262}","{""candidate_after_baseline_exit"": 344, ""candidate_after_max_hold"": 85, ""lifecycle_without_exit_replay"": 515, ""no_candidate"": 74, ""none"": 2567, ""not_active_exit_eligible"": 1, ""stale_data_no_action"": 8}"
2000,-700,60000,3079,515,2581,498,197,613,2269,-528808,-171.74667099707696,-202.0,-577658,-187.612211757064,-202.0,-48850,-15.86554075998701,0.0,-18.926772568771796,0.0,579,303,1699,0.6564625850340136,882,0.6245042600929435,218,151882,103,166582,361,67277,0,0,219159,268009,False,True,254.1,8,74,1,405,10,0,515,3079,0,0,3,"{""cut_target"": 103, ""harmful_exit"": 200, ""neutral_exit"": 1699, ""no_active_exit"": 498, ""no_exit_replay"": 515, ""saved_stop"": 218, ""timeout_improved"": 361}","{""candidate_after_baseline_exit"": 405, ""candidate_after_max_hold"": 10, ""lifecycle_without_exit_replay"": 515, ""no_candidate"": 74, ""none"": 2581, ""not_active_exit_eligible"": 1, ""stale_data_no_action"": 8}"
2000,-700,120000,3079,515,2581,498,243,685,2151,-560683,-182.09905813575836,-202.0,-577035,-187.40987333549853,-202.0,-16352,-5.310815199740175,0.0,-6.335528864781093,0.0,822,294,1465,0.7365591397849462,1116,0.7099351659093686,290,204345,149,250110,532,108998,0,0,313343,329695,False,True,343.2,8,74,1,414,1,0,515,3079,0,0,3,"{""cut_target"": 149, ""harmful_exit"": 145, ""neutral_exit"": 1465, ""no_active_exit"": 498, ""no_exit_replay"": 515, ""saved_stop"": 290, ""timeout_improved"": 532}","{""candidate_after_baseline_exit"": 414, ""candidate_after_max_hold"": 1, ""lifecycle_without_exit_replay"": 515, ""no_candidate"": 74, ""none"": 2581, ""not_active_exit_eligible"": 1, ""stale_data_no_action"": 8}"
