scope,anchor,guard_name,early_horizon_ms,anchor_target_cut_count,anchor_target_cut_damage_bps,guarded_target_cut_damage_bps,target_cut_damage_reduction_bps,target_cut_damage_reduction_rate,anchor_saved_stop_damage_bps,guarded_saved_stop_damage_bps,saved_stop_damage_retained_rate,anchor_timeout_improved_count,guarded_timeout_improved_count,timeout_improved_count_retained_rate,top5_target_cut_winner_count,top5_target_cut_winners_protected,top5_target_cut_winners_protected_rate,top10_target_cut_winner_count,top10_target_cut_winners_protected,top10_target_cut_winners_protected_rate
shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1,M4_CONFIRM_2_WINDOWS / 10000 / -6000 / 120000,G3_LOW_VOL_CONTINUATION,30000,44,403143,393441,9702,0.024065902173670384,435613,435613,1.0,1422,1393,0.9796061884669479,3,0,0.0,5,0,0.0
shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1,M4_CONFIRM_2_WINDOWS / 10000 / -6000 / 120000,G3_LOW_VOL_CONTINUATION,45000,44,403143,393441,9702,0.024065902173670384,435613,435613,1.0,1422,1393,0.9796061884669479,3,0,0.0,5,0,0.0
shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1,M4_CONFIRM_2_WINDOWS / 10000 / -6000 / 120000,G4_DELAYED_DECISION_4000,10000,44,403143,348591,54552,0.13531674864750226,435613,393084,0.9023697639877598,1422,1369,0.9627285513361463,3,0,0.0,5,0,0.0
shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1,M4_CONFIRM_2_WINDOWS / 10000 / -6000 / 120000,G4_DELAYED_DECISION_4000,20000,44,403143,348591,54552,0.13531674864750226,435613,393084,0.9023697639877598,1422,1369,0.9627285513361463,3,0,0.0,5,0,0.0
shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1,M4_CONFIRM_2_WINDOWS / 10000 / -6000 / 120000,G4_DELAYED_DECISION_4000,30000,44,403143,348591,54552,0.13531674864750226,435613,393084,0.9023697639877598,1422,1369,0.9627285513361463,3,0,0.0,5,0,0.0
shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1,M4_CONFIRM_2_WINDOWS / 10000 / -6000 / 120000,G4_DELAYED_DECISION_4000,45000,44,403143,348591,54552,0.13531674864750226,435613,393084,0.9023697639877598,1422,1369,0.9627285513361463,3,0,0.0,5,0,0.0
shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1,M4_CONFIRM_2_WINDOWS / 10000 / -6000 / 120000,G5_DELAYED_DECISION_8000,10000,44,403143,313962,89181,0.22121430857040802,435613,347503,0.797733309152849,1422,1310,0.9212376933895922,3,0,0.0,5,0,0.0
shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1,M4_CONFIRM_2_WINDOWS / 10000 / -6000 / 120000,G5_DELAYED_DECISION_8000,20000,44,403143,313962,89181,0.22121430857040802,435613,347503,0.797733309152849,1422,1310,0.9212376933895922,3,0,0.0,5,0,0.0
shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1,M4_CONFIRM_2_WINDOWS / 10000 / -6000 / 120000,G5_DELAYED_DECISION_8000,30000,44,403143,313962,89181,0.22121430857040802,435613,347503,0.797733309152849,1422,1310,0.9212376933895922,3,0,0.0,5,0,0.0
shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1,M4_CONFIRM_2_WINDOWS / 10000 / -6000 / 120000,G5_DELAYED_DECISION_8000,45000,44,403143,313962,89181,0.22121430857040802,435613,347503,0.797733309152849,1422,1310,0.9212376933895922,3,0,0.0,5,0,0.0
shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1,M7_CLASS_RESTRICTED / 10000 / -6000 / 60000,G0_NONE,10000,26,253413,253413,0,0.0,254855,254855,1.0,1083,1083,1.0,2,0,0.0,3,0,0.0
shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1,M7_CLASS_RESTRICTED / 10000 / -6000 / 60000,G0_NONE,20000,26,253413,253413,0,0.0,254855,254855,1.0,1083,1083,1.0,2,0,0.0,3,0,0.0
shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1,M7_CLASS_RESTRICTED / 10000 / -6000 / 60000,G0_NONE,30000,26,253413,253413,0,0.0,254855,254855,1.0,1083,1083,1.0,2,0,0.0,3,0,0.0
shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1,M7_CLASS_RESTRICTED / 10000 / -6000 / 60000,G0_NONE,45000,26,253413,253413,0,0.0,254855,254855,1.0,1083,1083,1.0,2,0,0.0,3,0,0.0
shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1,M7_CLASS_RESTRICTED / 10000 / -6000 / 60000,G1_STEADY_EARLY_STRENGTH,10000,26,253413,152063,101350,0.3999400188624893,254855,193887,0.7607737733220851,1083,988,0.9122807017543859,2,2,1.0,3,2,0.6666666666666666
shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1,M7_CLASS_RESTRICTED / 10000 / -6000 / 60000,G1_STEADY_EARLY_STRENGTH,20000,26,253413,176564,76849,0.3032559497736896,254855,199315,0.7820721586784642,1083,991,0.9150507848568791,2,0,0.0,3,0,0.0
shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1,M7_CLASS_RESTRICTED / 10000 / -6000 / 60000,G1_STEADY_EARLY_STRENGTH,30000,26,253413,176564,76849,0.3032559497736896,254855,205782,0.8074473720350788,1083,998,0.9215143120960295,2,0,0.0,3,0,0.0
shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1,M7_CLASS_RESTRICTED / 10000 / -6000 / 60000,G1_STEADY_EARLY_STRENGTH,45000,26,253413,176564,76849,0.3032559497736896,254855,199496,0.7827823664436641,1083,1000,0.9233610341643582,2,0,0.0,3,0,0.0
shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1,M7_CLASS_RESTRICTED / 10000 / -6000 / 60000,G2_RECOVERY_AFTER_EARLY_DRAWDOWN,10000,26,253413,223715,29698,0.11719209353900549,254855,229073,0.8988365933570069,1083,1073,0.9907663896583564,2,1,0.5,3,1,0.3333333333333333
shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1,M7_CLASS_RESTRICTED / 10000 / -6000 / 60000,G2_RECOVERY_AFTER_EARLY_DRAWDOWN,20000,26,253413,236245,17168,0.0677471163673529,254855,243068,0.9537501716662415,1083,1064,0.9824561403508771,2,0,0.0,3,0,0.0
shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1,M7_CLASS_RESTRICTED / 10000 / -6000 / 60000,G2_RECOVERY_AFTER_EARLY_DRAWDOWN,30000,26,253413,236245,17168,0.0677471163673529,254855,246813,0.9684448019462047,1083,1065,0.9833795013850416,2,0,0.0,3,0,0.0
shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1,M7_CLASS_RESTRICTED / 10000 / -6000 / 60000,G2_RECOVERY_AFTER_EARLY_DRAWDOWN,45000,26,253413,236245,17168,0.0677471163673529,254855,246813,0.9684448019462047,1083,1067,0.9852262234533703,2,0,0.0,3,0,0.0
