check_type,scope_or_file,row_id,metric,reported_value,recomputed_value,absolute_diff,status,notes
csv_internal_consistency,reports/selector/shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1/time_stop_v2_mask_summary_a2.csv,M0_ALL,cost100_exit_action_precision,0.6425368353619475,0.6425368353619475,0.0,PASS,
csv_internal_consistency,reports/selector/shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1/time_stop_v2_mask_summary_a2.csv,M0_ALL,cost100_exit_action_precision_wilson95_lower,0.6184390544618463,0.6184390544618463,0.0,PASS,
csv_internal_consistency,reports/selector/shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1/time_stop_v2_mask_summary_a2.csv,M0_ALL,cost100_avg_equals_sum_over_count,-482.0688711036226,-482.0688711036226,0.0,PASS,
csv_internal_consistency,reports/selector/shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1/time_stop_v2_mask_summary_a2.csv,M0_ALL,cost100_exit_action_precision,0.7021716649431231,0.7021716649431231,0.0,PASS,
csv_internal_consistency,reports/selector/shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1/time_stop_v2_mask_summary_a2.csv,M0_ALL,cost100_exit_action_precision_wilson95_lower,0.6814062050101617,0.6814062050101617,0.0,PASS,
csv_internal_consistency,reports/selector/shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1/time_stop_v2_mask_summary_a2.csv,M0_ALL,cost100_avg_equals_sum_over_count,-388.85046335299074,-388.85046335299074,0.0,PASS,
csv_internal_consistency,reports/selector/shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1/time_stop_v2_mask_summary_a2.csv,M0_ALL,cost100_exit_action_precision,0.6015971606033718,0.6015971606033718,0.0,PASS,
csv_internal_consistency,reports/selector/shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1/time_stop_v2_mask_summary_a2.csv,M0_ALL,cost100_exit_action_precision_wilson95_lower,0.5727160358984946,0.5727160358984946,0.0,PASS,
csv_internal_consistency,reports/selector/shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1/time_stop_v2_mask_summary_a2.csv,M0_ALL,cost100_avg_equals_sum_over_count,-425.9113310867734,-425.9113310867734,0.0,PASS,
csv_internal_consistency,reports/selector/shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1/time_stop_v2_mask_summary_a2.csv,M0_ALL,cost100_exit_action_precision,0.6439688715953308,0.6439688715953308,0.0,PASS,
csv_internal_consistency,reports/selector/shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1/time_stop_v2_mask_summary_a2.csv,M0_ALL,cost100_exit_action_precision_wilson95_lower,0.6197389944623442,0.6197389944623442,0.0,PASS,
csv_internal_consistency,reports/selector/shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1/time_stop_v2_mask_summary_a2.csv,M0_ALL,cost100_avg_equals_sum_over_count,-471.39679865206404,-471.39679865206404,0.0,PASS,
csv_internal_consistency,reports/selector/shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1/time_stop_v2_mask_summary_a2.csv,M0_ALL,cost100_exit_action_precision,0.7054830287206266,0.7054830287206266,0.0,PASS,
csv_internal_consistency,reports/selector/shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1/time_stop_v2_mask_summary_a2.csv,M0_ALL,cost100_exit_action_precision_wilson95_lower,0.6846723558933387,0.6846723558933387,0.0,PASS,
csv_internal_consistency,reports/selector/shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1/time_stop_v2_mask_summary_a2.csv,M0_ALL,cost100_avg_equals_sum_over_count,-353.70408593091827,-353.70408593091827,0.0,PASS,
csv_internal_consistency,reports/selector/shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1/time_stop_v2_mask_summary_a2.csv,M0_ALL,cost100_exit_action_precision,0.6015037593984962,0.6015037593984962,0.0,PASS,
csv_internal_consistency,reports/selector/shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1/time_stop_v2_mask_summary_a2.csv,M0_ALL,cost100_exit_action_precision_wilson95_lower,0.5717716105162097,0.5717716105162097,0.0,PASS,
csv_internal_consistency,reports/selector/shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1/time_stop_v2_mask_summary_a2.csv,M0_ALL,cost100_avg_equals_sum_over_count,-372.509898904802,-372.509898904802,0.0,PASS,
csv_internal_consistency,reports/selector/shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1/time_stop_v2_mask_summary_a2.csv,M0_ALL,cost100_exit_action_precision,0.6428571428571429,0.6428571428571429,0.0,PASS,
csv_internal_consistency,reports/selector/shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1/time_stop_v2_mask_summary_a2.csv,M0_ALL,cost100_exit_action_precision_wilson95_lower,0.6180194576552701,0.6180194576552701,0.0,PASS,
csv_internal_consistency,reports/selector/shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1/time_stop_v2_mask_summary_a2.csv,M0_ALL,cost100_avg_equals_sum_over_count,-404.22009267059815,-404.22009267059815,0.0,PASS,
csv_internal_consistency,reports/selector/shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1/time_stop_v2_mask_summary_a2.csv,M0_ALL,cost100_exit_action_precision,0.7062975027144408,0.7062975027144408,0.0,PASS,
csv_internal_consistency,reports/selector/shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1/time_stop_v2_mask_summary_a2.csv,M0_ALL,cost100_exit_action_precision_wilson95_lower,0.6850859815111797,0.6850859815111797,0.0,PASS,
csv_internal_consistency,reports/selector/shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1/time_stop_v2_mask_summary_a2.csv,M0_ALL,cost100_avg_equals_sum_over_count,-314.09498736310024,-314.09498736310024,0.0,PASS,
csv_internal_consistency,reports/selector/shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1/time_stop_v2_mask_summary_a2.csv,M0_ALL,cost100_exit_action_precision,0.6028225806451613,0.6028225806451613,0.0,PASS,
csv_internal_consistency,reports/selector/shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1/time_stop_v2_mask_summary_a2.csv,M0_ALL,cost100_exit_action_precision_wilson95_lower,0.5720327020858464,0.5720327020858464,0.0,PASS,
csv_internal_consistency,reports/selector/shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1/time_stop_v2_mask_summary_a2.csv,M0_ALL,cost100_avg_equals_sum_over_count,-324.85025273799494,-324.85025273799494,0.0,PASS,
csv_internal_consistency,reports/selector/shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1/time_stop_v2_mask_summary_a2.csv,M0_ALL,cost100_exit_action_precision,0.6449746926970354,0.6449746926970354,0.0,PASS,
csv_internal_consistency,reports/selector/shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1/time_stop_v2_mask_summary_a2.csv,M0_ALL,cost100_exit_action_precision_wilson95_lower,0.6193852852190006,0.6193852852190006,0.0,PASS,
csv_internal_consistency,reports/selector/shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1/time_stop_v2_mask_summary_a2.csv,M0_ALL,cost100_avg_equals_sum_over_count,-347.3087615838248,-347.3087615838248,0.0,PASS,
csv_internal_consistency,reports/selector/shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1/time_stop_v2_mask_summary_a2.csv,M0_ALL,cost100_exit_action_precision,0.7100456621004566,0.7100456621004566,0.0,PASS,
csv_internal_consistency,reports/selector/shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1/time_stop_v2_mask_summary_a2.csv,M0_ALL,cost100_exit_action_precision_wilson95_lower,0.6883578230788726,0.6883578230788726,0.0,PASS,
csv_internal_consistency,reports/selector/shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1/time_stop_v2_mask_summary_a2.csv,M0_ALL,cost100_avg_equals_sum_over_count,-284.2754844144903,-284.27548441449034,5.684341886080802e-14,PASS,
csv_internal_consistency,reports/selector/shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1/time_stop_v2_mask_summary_a2.csv,M0_ALL,cost100_exit_action_precision,0.6102941176470589,0.6102941176470589,0.0,PASS,
csv_internal_consistency,reports/selector/shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1/time_stop_v2_mask_summary_a2.csv,M0_ALL,cost100_exit_action_precision_wilson95_lower,0.5789309688616668,0.5789309688616668,0.0,PASS,
csv_internal_consistency,reports/selector/shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1/time_stop_v2_mask_summary_a2.csv,M0_ALL,cost100_avg_equals_sum_over_count,-289.4711457455771,-289.4711457455771,0.0,PASS,
csv_internal_consistency,reports/selector/shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1/time_stop_v2_mask_summary_a2.csv,M0_ALL,cost100_exit_action_precision,0.6497386109036595,0.6497386109036595,0.0,PASS,
csv_internal_consistency,reports/selector/shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1/time_stop_v2_mask_summary_a2.csv,M0_ALL,cost100_exit_action_precision_wilson95_lower,0.6237913290232983,0.6237913290232983,0.0,PASS,
csv_internal_consistency,reports/selector/shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1/time_stop_v2_mask_summary_a2.csv,M0_ALL,cost100_avg_equals_sum_over_count,-310.28159224936815,-310.28159224936815,0.0,PASS,
csv_internal_consistency,reports/selector/shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1/time_stop_v2_mask_summary_a2.csv,M0_ALL,cost100_exit_action_precision,0.7186400937866354,0.7186400937866354,0.0,PASS,
csv_internal_consistency,reports/selector/shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1/time_stop_v2_mask_summary_a2.csv,M0_ALL,cost100_exit_action_precision_wilson95_lower,0.6968296116304286,0.6968296116304286,0.0,PASS,
csv_internal_consistency,reports/selector/shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1/time_stop_v2_mask_summary_a2.csv,M0_ALL,cost100_avg_equals_sum_over_count,-248.86604886267904,-248.86604886267904,0.0,PASS,
