scope,classifier,target_bps,stop_bps,max_hold_ms,roundtrip_cost_bps,retained_count,sum_pnl_after_cost_bps,avg_pnl_after_cost_bps,median_pnl_after_cost_bps,nonloss_count,precision,wilson_lower95,max_consecutive_losses
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,1500,-700,30000,100,3633,-796493,-219.23837049270574,-202.0,304,0.08367740159647674,0.07510699675238856,85
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,1500,-700,30000,200,3633,-1159793,-319.23837049270577,-302.0,289,0.07954858243875584,0.07118715698010034,85
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,1500,-700,40000,100,3633,-802700,-220.94687586017065,-202.0,312,0.08587943848059455,0.07720026216789674,85
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,1500,-700,40000,200,3633,-1166000,-320.9468758601707,-302.0,303,0.08340214698596202,0.07484546711380093,85
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,1500,-1000,20000,100,3633,-897987,-247.17506193228738,-202.0,309,0.08505367464905036,0.07641507529476745,85
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,1500,-1000,20000,200,3633,-1261287,-347.17506193228735,-302.0,291,0.08009909165978531,0.07170941075862874,85
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,1500,-1000,30000,100,3633,-922053,-253.79933938893475,-202.0,319,0.08780622075419764,0.0790333344617361,85
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,1500,-1000,30000,200,3633,-1285353,-353.79933938893475,-302.0,304,0.08367740159647674,0.07510699675238856,85
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,1500,-1000,40000,100,3633,-934696,-257.27938342967246,-202.0,332,0.09138453069088907,0.08244109781408256,85
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,1500,-1000,40000,200,3633,-1297996,-357.27938342967246,-302.0,321,0.08835672997522709,0.07955731448047819,85
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,2000,-300,20000,100,3633,-554561,-152.64547206165705,-202.0,255,0.07018992568125516,0.06232879446546745,126
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,2000,-300,20000,200,3633,-917861,-252.64547206165705,-302.0,242,0.06661161574456372,0.05895260563236677,126
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,2000,-300,30000,100,3633,-558023,-153.598403523259,-202.0,243,0.06688687035507845,0.05921208173682571,88
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,2000,-300,30000,200,3633,-921323,-253.598403523259,-302.0,232,0.06385906963941645,0.05636005413703943,89
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,2000,-300,40000,100,3633,-560463,-154.27002477291495,-202.0,241,0.06633636113404899,0.058693169004926,86
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,2000,-300,40000,200,3633,-923763,-254.27002477291495,-302.0,233,0.06413432424993118,0.05661912494915213,86
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,2000,-500,20000,100,3633,-666280,-183.3966418937517,-202.0,271,0.07459399944949077,0.06649258435721962,94
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,2000,-500,20000,200,3633,-1029580,-283.39664189375173,-302.0,255,0.07018992568125516,0.06232879446546745,126
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,2000,-500,30000,100,3633,-677602,-186.51307459399945,-202.0,266,0.07321772639691715,0.06519043715340592,86
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,2000,-500,30000,200,3633,-1040902,-286.5130745939995,-302.0,252,0.06936416184971098,0.061549106732969795,86
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,2000,-500,40000,100,3633,-679950,-187.15937241948802,-202.0,267,0.07349298100743187,0.0654507980189083,86
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,2000,-500,40000,200,3633,-1043250,-287.159372419488,-302.0,258,0.07101568951279934,0.06310881267960182,86
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,2000,-700,20000,100,3633,-760277,-209.26974951830442,-202.0,284,0.07817230938618222,0.06988206620958527,94
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,2000,-700,20000,200,3633,-1123577,-309.2697495183044,-302.0,268,0.0737682356179466,0.06571119334798678,126
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,2000,-700,30000,100,3633,-774582,-213.2072667217176,-202.0,286,0.07872281860721167,0.07040400857632372,86
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,2000,-700,30000,200,3633,-1137882,-313.2072667217176,-302.0,271,0.07459399944949077,0.06649258435721962,86
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,2000,-700,40000,100,3633,-779909,-214.67354803192953,-202.0,288,0.07927332782824112,0.07092607639692639,86
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,2000,-700,40000,200,3633,-1143209,-314.67354803192956,-302.0,279,0.07679603633360858,0.06857776714349463,86
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,2000,-1000,20000,100,3633,-875602,-241.0134874759152,-202.0,297,0.08175061932287365,0.07327690267156174,94
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,2000,-1000,20000,200,3633,-1238902,-341.0134874759152,-302.0,279,0.07679603633360858,0.06857776714349463,126
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,2000,-1000,30000,100,3633,-901951,-248.26617120836775,-202.0,301,0.08285163776493257,0.07432249493613377,86
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,2000,-1000,30000,200,3633,-1265251,-348.2661712083677,-302.0,286,0.07872281860721167,0.07040400857632372,86
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,2000,-1000,40000,100,3633,-914108,-251.61244150839528,-202.0,308,0.08477842003853564,0.07615340262934363,86
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,2000,-1000,40000,200,3633,-1277408,-351.61244150839525,-302.0,297,0.08175061932287365,0.07327690267156174,86
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,2500,-300,20000,100,3633,-536659,-147.7178640242224,-202.0,252,0.06936416184971098,0.061549106732969795,126
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,2500,-300,20000,200,3633,-899959,-247.7178640242224,-302.0,239,0.06578585191301954,0.05817441509314751,126
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,2500,-300,30000,100,3633,-527725,-145.25873933388385,-202.0,237,0.06523534269199009,0.05765582184917772,88
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,2500,-300,30000,200,3633,-891025,-245.25873933388385,-302.0,226,0.06220754197632811,0.05480651727039353,89
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,2500,-300,40000,100,3633,-530329,-145.9755023396642,-202.0,236,0.06496008808147537,0.05739658606552534,86
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,2500,-300,40000,200,3633,-893629,-245.9755023396642,-302.0,227,0.06248279658684283,0.055065333076929845,86
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,2500,-500,20000,100,3633,-646778,-178.02862647949354,-202.0,268,0.0737682356179466,0.06571119334798678,94
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,2500,-500,20000,200,3633,-1010078,-278.02862647949354,-302.0,252,0.06936416184971098,0.061549106732969795,126
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,2500,-500,30000,100,3633,-645550,-177.69061381778144,-202.0,260,0.07156619873382879,0.0636290058029678,86
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,2500,-500,30000,200,3633,-1008850,-277.69061381778147,-302.0,246,0.06771263418662263,0.05999074467241995,86
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,2500,-500,40000,100,3633,-647930,-178.3457197908065,-202.0,262,0.07211670795485825,0.06414934192005273,86
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,2500,-500,40000,200,3633,-1011230,-278.34571979080647,-302.0,252,0.06936416184971098,0.061549106732969795,86
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,2500,-700,20000,100,3633,-739864,-203.65097715386733,-202.0,281,0.07734654555463805,0.0690993905371989,94
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,2500,-700,20000,200,3633,-1103164,-303.6509771538673,-302.0,265,0.07294247178640242,0.06493011092987214,126
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,2500,-700,30000,100,3633,-739747,-203.6187723644371,-202.0,280,0.07707129094412331,0.0688385626971878,86
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,2500,-700,30000,200,3633,-1103047,-303.6187723644371,-302.0,265,0.07294247178640242,0.06493011092987214,86
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,2500,-700,40000,100,3633,-744761,-204.99889898155794,-202.0,283,0.0778970547756675,0.06962114244858646,86
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,2500,-700,40000,200,3633,-1108061,-304.99889898155794,-302.0,273,0.07514450867052024,0.06701368081687394,86
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,2500,-1000,20000,100,3633,-854093,-235.093036058354,-202.0,294,0.08092485549132948,0.07249302079329377,94
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,2500,-1000,20000,200,3633,-1217393,-335.09303605835396,-302.0,276,0.07597027250206441,0.06779557579368692,126
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,2500,-1000,30000,100,3633,-864816,-238.0445912469034,-202.0,295,0.0812001101018442,0.07275428473420342,86
