scope,classifier,target_bps,stop_bps,max_hold_ms,roundtrip_cost_bps,top_positive_fraction_removed,retained_count_before_tail_removal,removed_count,removed_sum_bps,sum_pnl_after_tail_removal_bps,avg_pnl_after_tail_removal_bps,median_pnl_after_tail_removal_bps,tail_dependency_flag
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,2000,-500,20000,100,0.1,3633,271,304357,-970637,-288.7082093991672,-202.0,True
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,2000,-500,30000,100,0.05,3633,182,304004,-981606,-284.4410315850478,-202.0,True
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,2000,-500,30000,100,0.1,3633,266,333015,-1010617,-300.15354915354914,-202.0,True
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,2000,-500,40000,100,0.05,3633,182,321550,-1001500,-290.20573746740075,-202.0,True
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,2000,-500,40000,100,0.1,3633,267,355487,-1035437,-307.616458704694,-203.0,True
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,2000,-700,20000,100,0.05,3633,182,283279,-1043556,-302.3923500434657,-202.0,True
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,2000,-700,20000,100,0.1,3633,284,317481,-1077758,-321.81487011048074,-202.0,True
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,2000,-700,30000,100,0.05,3633,182,313452,-1088034,-315.2807881773399,-202.0,True
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,2000,-700,30000,100,0.1,3633,286,353986,-1128568,-337.1879294890947,-202.0,True
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,2000,-700,40000,100,0.05,3633,182,332952,-1112861,-322.47493480150683,-202.0,True
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,2000,-700,40000,100,0.1,3633,288,385446,-1165355,-348.38714499252615,-203.0,True
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,2000,-1000,20000,100,0.05,3633,182,288331,-1163933,-337.27412344248046,-202.0,True
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,2000,-1000,20000,100,0.1,3633,297,329303,-1204905,-361.1825539568345,-202.0,True
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,2000,-1000,30000,100,0.05,3633,182,321374,-1223325,-354.4842074760939,-202.0,True
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,2000,-1000,30000,100,0.1,3633,301,373984,-1275935,-382.93367346938777,-202.0,True
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,2000,-1000,40000,100,0.05,3633,182,340463,-1254571,-363.5383946682121,-202.0,True
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,2000,-1000,40000,100,0.1,3633,308,410238,-1324346,-398.2995488721804,-202.0,True
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,2500,-300,20000,100,0.05,3633,182,290979,-827638,-239.82555780933063,-202.0,True
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,2500,-300,20000,100,0.1,3633,252,309207,-845866,-250.18219461697723,-202.0,True
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,2500,-300,30000,100,0.05,3633,182,329209,-856934,-248.3146913937989,-202.0,True
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,2500,-300,30000,100,0.1,3633,237,343539,-871264,-256.55594817432274,-202.0,True
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,2500,-300,40000,100,0.05,3633,182,343134,-873463,-253.1043175891046,-203.0,True
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,2500,-300,40000,100,0.1,3633,236,355984,-886313,-260.91050927288785,-204.0,True
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,2500,-500,20000,100,0.05,3633,182,299815,-946593,-274.2952767313822,-202.0,True
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,2500,-500,20000,100,0.1,3633,268,325261,-972039,-288.8674591381872,-202.0,True
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,2500,-500,30000,100,0.05,3633,182,342960,-988510,-286.4416111272095,-202.0,True
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,2500,-500,30000,100,0.1,3633,260,367467,-1013017,-300.3311592054551,-202.0,True
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,2500,-500,40000,100,0.05,3633,182,363123,-1011053,-292.97392060272387,-202.0,True
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,2500,-500,40000,100,0.1,3633,262,390109,-1038039,-307.9320676357164,-203.0,True
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,2500,-700,20000,100,0.05,3633,182,307993,-1047857,-303.6386554621849,-202.0,True
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R0_BROAD,2500,-700,20000,100,0.1,3633,281,339696,-1079560,-322.06443914081143,-202.0,True
