scope,horizon_ms,replay_rows,supported_rows,coverage_pct,status,avg_pnl_bps,median_pnl_bps,sum_pnl_bps,notes
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,30000,3656,3643,0.9964442013129103,EVALUABLE,-306.7606368377711,-102.0,-1117529,
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,60000,3656,3642,0.9961706783369803,EVALUABLE,-443.883580450302,-102.0,-1616624,
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,120000,3656,9,0.002461706783369803,NOT_EVALUABLE,-215.22222222222223,-135.0,-1937,coverage_below_80pct_marked_not_evaluable
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,300000,3656,0,0.0,NOT_EVALUABLE,0.0,0.0,0,coverage_below_80pct_marked_not_evaluable
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,500000,3656,0,0.0,NOT_EVALUABLE,0.0,0.0,0,coverage_below_80pct_marked_not_evaluable
shadow-burnin-v3-r51-rce-logging-only-target12-stop6-maxwait45000-r1,1000,1939,1935,0.9979370809695719,EVALUABLE,-11.671317829457365,0.0,-22584,
shadow-burnin-v3-r51-rce-logging-only-target12-stop6-maxwait45000-r1,2000,1939,1935,0.9979370809695719,EVALUABLE,-24.727131782945737,0.0,-47847,
shadow-burnin-v3-r51-rce-logging-only-target12-stop6-maxwait45000-r1,3000,1939,1935,0.9979370809695719,EVALUABLE,-33.875452196382426,0.0,-65549,
shadow-burnin-v3-r51-rce-logging-only-target12-stop6-maxwait45000-r1,5000,1939,1935,0.9979370809695719,EVALUABLE,-99.69715762273901,0.0,-192914,
shadow-burnin-v3-r51-rce-logging-only-target12-stop6-maxwait45000-r1,10000,1939,1935,0.9979370809695719,EVALUABLE,-405.9142118863049,-102.0,-785444,
shadow-burnin-v3-r51-rce-logging-only-target12-stop6-maxwait45000-r1,20000,1939,1935,0.9979370809695719,EVALUABLE,-543.0780361757106,-107.0,-1050856,
shadow-burnin-v3-r51-rce-logging-only-target12-stop6-maxwait45000-r1,30000,1939,1933,0.9969056214543579,EVALUABLE,-532.2834971546819,-108.0,-1028904,
shadow-burnin-v3-r51-rce-logging-only-target12-stop6-maxwait45000-r1,60000,1939,1931,0.9958741619391439,EVALUABLE,-630.053858104609,-110.0,-1216634,
shadow-burnin-v3-r51-rce-logging-only-target12-stop6-maxwait45000-r1,120000,1939,6,0.0030943785456420837,NOT_EVALUABLE,-493.8333333333333,-230.0,-2963,coverage_below_80pct_marked_not_evaluable
shadow-burnin-v3-r51-rce-logging-only-target12-stop6-maxwait45000-r1,300000,1939,0,0.0,NOT_EVALUABLE,0.0,0.0,0,coverage_below_80pct_marked_not_evaluable
shadow-burnin-v3-r51-rce-logging-only-target12-stop6-maxwait45000-r1,500000,1939,0,0.0,NOT_EVALUABLE,0.0,0.0,0,coverage_below_80pct_marked_not_evaluable
