scope,row_type,entry_cohort,mask_name,target_bps,stop_bps,max_hold_ms,segment,evaluable,blocking_reason,retained_count,paired_delta_sum_bps,paired_delta_avg_bps,paired_delta_median_bps,exit_action_precision,wilson_lower95,target_cut_damage_ratio,target_cut_count,saved_stop_count,timeout_improved_count,max_consecutive_harmful_actions,segment_acceptance_pass,acceptance_failures
shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1,mask_only_tsv2_without_entry_filter,NONE,M6_DELAY_8000MS_CONFIRM,10000,-6000,60000,holdout,True,,1582,-24480,-15.47408343868521,0.0,0.6614699331848553,0.6164945034835767,0.21391742162813063,7,13,284,,False,not_entry_exit_intersection;diagnostic_mask_only_baseline
shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1,mask_only_tsv2_without_entry_filter,NONE,M6_DELAY_8000MS_CONFIRM,10000,-6000,120000,train,True,,1583,228411,144.28995578016423,0.0,0.7178770949720671,0.6838182171186539,0.1383141949075145,12,33,481,,False,not_entry_exit_intersection;diagnostic_mask_only_baseline
shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1,mask_only_tsv2_without_entry_filter,NONE,M6_DELAY_8000MS_CONFIRM,10000,-6000,120000,validation,True,,1583,78557,49.6253948199621,0.0,0.7140804597701149,0.6794079599856214,0.2392120787437996,17,32,465,,False,not_entry_exit_intersection;diagnostic_mask_only_baseline
shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1,mask_only_tsv2_without_entry_filter,NONE,M6_DELAY_8000MS_CONFIRM,10000,-6000,120000,holdout,True,,1582,97287,61.49620733249052,0.0,0.7589743589743589,0.7226978786240454,0.2683099880467915,14,25,419,,False,not_entry_exit_intersection;diagnostic_mask_only_baseline
shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1,mask_only_tsv2_without_entry_filter,NONE,M7_CLASS_RESTRICTED,7500,-6000,60000,train,True,,1583,73113,46.186355022109915,0.0,0.6319875776397516,0.5940603430078906,0.2212031973075305,14,24,383,,False,not_entry_exit_intersection;diagnostic_mask_only_baseline
shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1,mask_only_tsv2_without_entry_filter,NONE,M7_CLASS_RESTRICTED,7500,-6000,60000,validation,True,,1583,2840,1.7940619077700568,0.0,0.6409836065573771,0.6021420457750838,0.30758877957795416,18,22,369,,False,not_entry_exit_intersection;diagnostic_mask_only_baseline
shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1,mask_only_tsv2_without_entry_filter,NONE,M7_CLASS_RESTRICTED,7500,-6000,60000,holdout,True,,1582,4795,3.0309734513274336,0.0,0.6865079365079365,0.6447246597391624,0.3706521703832877,14,16,330,,False,not_entry_exit_intersection;diagnostic_mask_only_baseline
shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1,mask_only_tsv2_without_entry_filter,NONE,M7_CLASS_RESTRICTED,7500,-6000,120000,train,True,,1583,220228,139.12065698041692,0.0,0.7245430809399478,0.6918449647523656,0.2999149838782137,29,36,519,,False,not_entry_exit_intersection;diagnostic_mask_only_baseline
shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1,mask_only_tsv2_without_entry_filter,NONE,M7_CLASS_RESTRICTED,7500,-6000,120000,validation,True,,1583,73385,46.358180669614654,0.0,0.7254374158815612,0.6922491523969498,0.44589824094679664,41,37,502,,False,not_entry_exit_intersection;diagnostic_mask_only_baseline
shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1,mask_only_tsv2_without_entry_filter,NONE,M7_CLASS_RESTRICTED,7500,-6000,120000,holdout,True,,1582,106678,67.43236409608092,0.0,0.759493670886076,0.7246690059366715,0.41407575483042053,26,28,452,,False,not_entry_exit_intersection;diagnostic_mask_only_baseline
