mask_name,target_bps,stop_bps,max_hold_ms,pass_r49,pass_r50,passing_both,absolute_profitable_both_cost100_200,r49_delta_sum_bps,r49_delta_avg_bps,r49_delta_median_bps,r49_action_precision,r49_wilson_lower,r49_target_cut_damage_ratio,r49_aggregate_target_cut_guard,r49_segment_target_cut_guard,r49_target_cut_count_guard,r49_public_row_verdict,r50_delta_sum_bps,r50_delta_avg_bps,r50_delta_median_bps,r50_action_precision,r50_wilson_lower,r50_target_cut_damage_ratio,r50_aggregate_target_cut_guard,r50_segment_target_cut_guard,r50_target_cut_count_guard,r50_public_row_verdict
M0_ALL,1000,-300,30000,False,False,False,False,-22199,-4.675442291491154,0.0,0.6493150684931507,0.6139996322225377,0.8405269358466316,False,False,True,TARGET_CUT_RISK_UNRESOLVED / INCONCLUSIVE_RESEARCH,-4681,-1.2803610503282277,0.0,0.7160686427457098,0.679955566741919,0.7225158484986018,False,False,True,TARGET_CUT_RISK_UNRESOLVED / INCONCLUSIVE_RESEARCH
M0_ALL,1000,-300,60000,False,False,False,False,-49368,-10.397641112047177,0.0,0.6918819188191881,0.6637587618080935,1.015847706615082,False,False,True,TARGET_CUT_RISK_UNRESOLVED / INCONCLUSIVE_RESEARCH,-10176,-2.7833698030634575,0.0,0.7592008412197687,0.731018087028287,0.8719819011584818,False,False,True,TARGET_CUT_RISK_UNRESOLVED / INCONCLUSIVE_RESEARCH
M0_ALL,1000,-300,120000,False,False,False,False,-29504,-6.213984835720304,0.0,0.7659873506676037,0.7432915600891129,0.9806284311291346,False,False,True,TARGET_CUT_RISK_UNRESOLVED / INCONCLUSIVE_RESEARCH,5945,1.62609409190372,0.0,0.8048780487804879,0.7813855460130668,0.7971772835116944,False,False,True,TARGET_CUT_RISK_UNRESOLVED / INCONCLUSIVE_RESEARCH
M0_ALL,1000,-200,30000,False,False,False,False,-36825,-7.755897219882056,0.0,0.6489675516224189,0.6122930086390016,1.1161182216834824,False,False,True,TARGET_CUT_RISK_UNRESOLVED / INCONCLUSIVE_RESEARCH,-23871,-6.5292669584245075,0.0,0.7123966942148761,0.6750770699575469,1.0616254036598494,False,False,True,TARGET_CUT_RISK_UNRESOLVED / INCONCLUSIVE_RESEARCH
M0_ALL,1000,-200,60000,False,False,False,False,-71917,-15.146798652064026,0.0,0.6994163424124513,0.6706876609664619,1.3671168121330002,False,False,True,TARGET_CUT_RISK_UNRESOLVED / INCONCLUSIVE_RESEARCH,-39298,-10.74890590809628,0.0,0.7566079295154186,0.7276525782989347,1.2485338334672977,False,False,True,TARGET_CUT_RISK_UNRESOLVED / INCONCLUSIVE_RESEARCH
M0_ALL,1000,-200,120000,False,False,False,False,-76082,-16.024010109519796,0.0,0.7738619676945668,0.7508929970557695,1.3969668915046511,False,False,True,TARGET_CUT_RISK_UNRESOLVED / INCONCLUSIVE_RESEARCH,-36782,-10.060722100656456,0.0,0.8063102541630149,0.782367589640047,1.1866317650570595,False,False,True,TARGET_CUT_RISK_UNRESOLVED / INCONCLUSIVE_RESEARCH
M0_ALL,1500,-6000,30000,False,False,False,False,192082,40.45534962089301,0.0,0.6013456686291001,0.5732319491351383,0.3405181361986642,False,False,False,TARGET_CUT_RISK_UNRESOLVED / INCONCLUSIVE_RESEARCH,276930,75.74671772428884,0.0,0.6569416498993964,0.626875879186628,0.2493784752301474,True,False,True,TARGET_CUT_RISK_UNRESOLVED / INCONCLUSIVE_RESEARCH
M0_ALL,1500,-6000,60000,False,False,False,False,390122,82.16554338668914,0.0,0.6438271604938272,0.6201932580242643,0.42199217433846453,False,False,False,TARGET_CUT_RISK_UNRESOLVED / INCONCLUSIVE_RESEARCH,469745,128.48605032822758,0.0,0.6912408759124088,0.6662713601926951,0.32976444671159844,False,False,False,TARGET_CUT_RISK_UNRESOLVED / INCONCLUSIVE_RESEARCH
M0_ALL,1500,-6000,120000,False,False,False,False,616817,129.9109098567818,0.0,0.7076228686058175,0.6872743721210641,0.44300415289086553,False,False,False,TARGET_CUT_RISK_UNRESOLVED / INCONCLUSIVE_RESEARCH,616381,168.59436542669584,0.0,0.7363245236631838,0.7143754941919033,0.36526973877054597,False,False,False,TARGET_CUT_RISK_UNRESOLVED / INCONCLUSIVE_RESEARCH
M0_ALL,1500,-5000,30000,False,False,False,False,184257,38.807287278854254,0.0,0.6027280477408354,0.5744335049403322,0.3528750660694912,False,False,False,TARGET_CUT_RISK_UNRESOLVED / INCONCLUSIVE_RESEARCH,251435,68.77324945295405,0.0,0.6550665301944729,0.6247049265613357,0.2645154732054231,False,False,True,TARGET_CUT_RISK_UNRESOLVED / INCONCLUSIVE_RESEARCH
