rank,target_bps,stop_bps,max_hold_ms,roundtrip_cost_bps,eligible_count,avg_pnl_bps_after_cost,median_pnl_bps_after_cost,sum_pnl_bps_after_cost,profit_factor_after_cost,expected_pnl_sol_at_0_25_sol_after_cost,median_pnl_sol_at_0_25_sol_after_cost
13,6000,-100,90000,50,3600,7.386666666666667,-150.0,26592,1.0517078444564572,0.00018466666666666666,-0.00375
13,6000,-100,90000,100,3600,-42.61333333333334,-200.0,-153408,0.77640218688829,-0.0010653333333333335,-0.005
13,6000,-100,90000,150,3600,-92.61333333333333,-250.0,-333408,0.6114433821095764,-0.0023153333333333333,-0.00625
13,6000,-100,90000,200,3600,-142.61333333333334,-300.0,-513408,0.5016264353255346,-0.0035653333333333335,-0.0075
14,6000,-100,30000,0,3600,56.75277777777778,-100.0,204310,1.6159128660100868,0.0014188194444444446,-0.0025
14,6000,-100,30000,50,3600,6.752777777777778,-150.0,24310,1.0487617993124005,0.00016881944444444445,-0.00375
14,6000,-100,30000,100,3600,-43.24722222222222,-200.0,-155690,0.7661578483337864,-0.0010811805555555555,-0.005
14,6000,-100,30000,150,3600,-93.24722222222222,-250.0,-335690,0.5971655546488743,-0.0023311805555555555,-0.00625
14,6000,-100,30000,200,3600,-143.24722222222223,-300.0,-515690,0.4848786939219102,-0.0035811805555555558,-0.0075
15,7500,-100,120000,0,3600,56.68416666666667,-100.0,204063,1.591368682785182,0.0014171041666666668,-0.0025
15,7500,-100,120000,50,3600,6.684166666666667,-150.0,24063,1.0464695465438962,0.00016710416666666666,-0.00375
15,7500,-100,120000,100,3600,-43.31583333333333,-200.0,-155937,0.7742487480944543,-0.0010828958333333333,-0.005
15,7500,-100,120000,150,3600,-93.31583333333333,-250.0,-335937,0.6111075095794312,-0.002332895833333333,-0.00625
15,7500,-100,120000,200,3600,-143.31583333333333,-300.0,-515937,0.5024854656909306,-0.0035828958333333333,-0.0075
16,6000,-100,40000,0,3600,56.288333333333334,-100.0,202638,1.60416995876553,0.0014072083333333334,-0.0025
16,6000,-100,40000,50,3600,6.288333333333333,-150.0,22638,1.0449193404369308,0.00015720833333333334,-0.00375
16,6000,-100,40000,100,3600,-43.711666666666666,-200.0,-157362,0.7661181849123178,-0.0010927916666666666,-0.005
16,6000,-100,40000,150,3600,-93.71166666666667,-250.0,-337362,0.5992992291520672,-0.0023427916666666666,-0.00625
16,6000,-100,40000,200,3600,-143.71166666666667,-300.0,-517362,0.488394584139265,-0.003592791666666667,-0.0075
17,6000,-100,60000,0,3600,55.69972222222222,-100.0,200519,1.5913165794766237,0.0013924930555555555,-0.0025
17,6000,-100,60000,50,3600,5.699722222222222,-150.0,20519,1.0403022422652064,0.00014249305555555556,-0.00375
17,6000,-100,60000,100,3600,-44.30027777777778,-200.0,-159481,0.7652505935672471,-0.0011075069444444444,-0.005
17,6000,-100,60000,150,3600,-94.30027777777778,-250.0,-339481,0.6005494958052408,-0.0023575069444444446,-0.00625
17,6000,-100,60000,200,3600,-144.30027777777778,-300.0,-519481,0.4909728897629385,-0.0036075069444444444,-0.0075
18,10000,-200,90000,0,3600,55.31583333333333,-200.0,199137,1.3566852170611088,0.0013828958333333332,-0.005
18,10000,-200,90000,50,3600,5.315833333333333,-250.0,19137,1.0263321926431677,0.00013289583333333334,-0.00625
18,10000,-200,90000,100,3600,-44.68416666666667,-300.0,-160863,0.8203709762609586,-0.0011171041666666666,-0.0075
18,10000,-200,90000,150,3600,-94.68416666666667,-350.0,-340863,0.6797950240250255,-0.0023671041666666667,-0.00875
18,10000,-200,90000,200,3600,-144.68416666666667,-400.0,-520863,0.5778589143014604,-0.003617104166666667,-0.01
19,10000,-100,15000,0,3600,54.437222222222225,-100.0,195974,1.6121891790578533,0.0013609305555555555,-0.0025
19,10000,-100,15000,50,3600,4.437222222222222,-150.0,15974,1.033043661735837,0.00011093055555555555,-0.00375
19,10000,-100,15000,100,3600,-45.562777777777775,-200.0,-164026,0.746755432315678,-0.0011390694444444443,-0.005
19,10000,-100,15000,150,3600,-95.56277777777778,-250.0,-344026,0.5767105017077948,-0.0023890694444444445,-0.00625
19,10000,-100,15000,200,3600,-145.56277777777777,-300.0,-524026,0.46445113052436215,-0.0036390694444444443,-0.0075
20,7500,-100,20000,0,3600,54.310833333333335,-100.0,195519,1.5989284664019998,0.0013577708333333334,-0.0025
20,7500,-100,20000,50,3600,4.310833333333333,-150.0,15519,1.0315858245408362,0.00010777083333333332,-0.00375
20,7500,-100,20000,100,3600,-45.689166666666665,-200.0,-164481,0.749639256228538,-0.0011422291666666666,-0.005
20,7500,-100,20000,150,3600,-95.68916666666667,-250.0,-344481,0.5816125263252502,-0.0023922291666666666,-0.00625
20,7500,-100,20000,200,3600,-145.68916666666667,-300.0,-524481,0.47035442600800403,-0.0036422291666666664,-0.0075
