policy,policy_kind,target_bps,stop_bps,max_hold_ms,input_count,eligible_count,excluded_count,target_count,stop_count,timeout_count,target_rate,stop_rate,timeout_rate,positive_timeout_count,negative_timeout_count,negative_timeout_rate,avg_pnl_bps,median_pnl_bps,sum_pnl_bps,profit_factor,max_consecutive_losses
C4,candidate_ladder,500,-6000,15000,203,203,0,62,0,141,0.3054187192118227,0.0,0.6945812807881774,15,125,0.8865248226950354,-866.7093596059113,-278.0,-175942.0,0.16399230239243542,6
C4,candidate_ladder,700,-100,15000,203,203,0,46,142,15,0.22660098522167488,0.6995073891625616,0.07389162561576355,12,2,0.13333333333333333,105.83251231527093,-100.0,21484.0,2.4996509842244867,10
C4,candidate_ladder,700,-200,15000,203,203,0,47,125,31,0.2315270935960591,0.6157635467980296,0.15270935960591134,15,15,0.4838709677419355,54.926108374384235,-200.0,11150.0,1.4164954615068543,7
C4,candidate_ladder,700,-300,15000,203,203,0,49,116,38,0.2413793103448276,0.5714285714285714,0.18719211822660098,15,22,0.5789473684210527,7.004926108374384,-300.0,1422.0,1.0375207789123724,7
C4,candidate_ladder,700,-500,15000,203,203,0,50,108,45,0.24630541871921183,0.5320197044334976,0.22167487684729065,16,28,0.6222222222222222,-93.66995073891626,-500.0,-19015.0,0.6787138415788051,7
C4,candidate_ladder,700,-700,15000,203,203,0,50,98,55,0.24630541871921183,0.4827586206896552,0.270935960591133,17,37,0.6727272727272727,-189.55665024630542,-614.0,-38480.0,0.5110111445744857,7
C4,candidate_ladder,700,-1000,15000,203,203,0,52,81,70,0.2561576354679803,0.39901477832512317,0.3448275862068966,18,51,0.7285714285714285,-287.064039408867,-393.0,-58274.0,0.4203553026836692,7
C4,candidate_ladder,700,-1500,15000,203,203,0,54,55,94,0.2660098522167488,0.270935960591133,0.4630541871921182,19,74,0.7872340425531915,-412.7536945812808,-330.0,-83789.0,0.3441276848894734,6
C4,candidate_ladder,700,-2000,15000,203,203,0,54,46,103,0.2660098522167488,0.22660098522167488,0.5073891625615764,20,82,0.7961165048543689,-509.9802955665025,-326.0,-103526.0,0.3002872495015376,6
C4,candidate_ladder,700,-3000,15000,203,203,0,54,34,115,0.2660098522167488,0.16748768472906403,0.5665024630541872,20,94,0.8173913043478261,-657.2807881773399,-283.0,-133428.0,0.24980180706972455,6
C4,candidate_ladder,700,-5000,15000,203,203,0,54,4,145,0.2660098522167488,0.019704433497536946,0.7142857142857143,20,124,0.8551724137931035,-835.4334975369458,-283.0,-169593.0,0.20759080842156413,6
C4,candidate_ladder,700,-6000,15000,203,203,0,54,0,149,0.2660098522167488,0.0,0.7339901477832512,20,128,0.8590604026845637,-844.3399014778325,-283.0,-171401.0,0.20585182782745678,6
C4,candidate_ladder,1000,-100,15000,203,203,0,34,144,25,0.16748768472906403,0.7093596059113301,0.12315270935960591,22,2,0.08,141.52216748768473,-100.0,28729.0,2.9777640093625224,10
