target_bps,stop_bps,max_hold_ms,eligible_count,excluded_count,target_count,stop_count,timeout_count,target_rate,stop_rate,timeout_rate,positive_timeout_count,negative_timeout_count,positive_timeout_rate,negative_timeout_rate,avg_pnl_bps,median_pnl_bps,sum_pnl_bps,p10_pnl_bps,p25_pnl_bps,p75_pnl_bps,p90_pnl_bps,min_pnl_bps,max_pnl_bps,positive_result_count,negative_result_count,win_rate,loss_rate,profit_factor,expected_gross_pnl_sol_at_0_25_sol,median_gross_pnl_sol_at_0_25_sol
10000,-200,120000,3600,0,45,2116,1439,0.0125,0.5877777777777777,0.3997222222222222,171,1268,0.11883252258512857,0.8811674774148714,58.785555555555554,-200.0,211628,-200.0,-200.0,-102.0,-102.0,-200,10000,216,3384,0.06,0.94,1.3747618204356296,0.0014696388888888888,-0.005
7500,-100,60000,3600,0,37,3385,178,0.010277777777777778,0.9402777777777778,0.049444444444444444,159,19,0.8932584269662921,0.10674157303370786,57.93361111111111,-100.0,208561,-100.0,-100.0,-100.0,-100.0,-100,7500,196,3404,0.05444444444444444,0.9455555555555556,1.6139455882439522,0.0014483402777777778,-0.0025
6000,-100,90000,3600,0,61,3416,123,0.016944444444444446,0.9488888888888889,0.034166666666666665,108,15,0.8780487804878049,0.12195121951219512,57.38666666666666,-100.0,206592,-100.0,-100.0,-100.0,-100.0,-100,6000,169,3431,0.04694444444444444,0.9530555555555555,1.6029137093761674,0.0014346666666666666,-0.0025
6000,-100,30000,3600,0,34,3291,275,0.009444444444444445,0.9141666666666667,0.0763888888888889,234,41,0.850909090909091,0.14909090909090908,56.75277777777778,-100.0,204310,-100.0,-100.0,-100.0,-100.0,-100,6000,268,3332,0.07444444444444444,0.9255555555555556,1.6159128660100868,0.0014188194444444446,-0.0025
7500,-100,120000,3600,0,51,3442,107,0.014166666666666666,0.9561111111111111,0.029722222222222223,95,12,0.8878504672897196,0.11214953271028037,56.68416666666667,-100.0,204063,-100.0,-100.0,-100.0,-100.0,-100,7500,146,3454,0.04055555555555555,0.9594444444444444,1.591368682785182,0.0014171041666666668,-0.0025
6000,-100,40000,3600,0,46,3333,221,0.012777777777777779,0.9258333333333333,0.06138888888888889,186,35,0.8416289592760181,0.1583710407239819,56.288333333333334,-100.0,202638,-100.0,-100.0,-100.0,-100.0,-100,6000,232,3368,0.06444444444444444,0.9355555555555556,1.60416995876553,0.0014072083333333334,-0.0025
6000,-100,60000,3600,0,53,3379,168,0.014722222222222222,0.9386111111111111,0.04666666666666667,149,19,0.8869047619047619,0.1130952380952381,55.69972222222222,-100.0,200519,-100.0,-100.0,-100.0,-100.0,-100,6000,202,3398,0.05611111111111111,0.9438888888888889,1.5913165794766237,0.0013924930555555555,-0.0025
10000,-200,90000,3600,0,36,2070,1494,0.01,0.575,0.415,198,1296,0.13253012048192772,0.8674698795180723,55.31583333333333,-200.0,199137,-200.0,-200.0,-102.0,-102.0,-200,10000,234,3366,0.065,0.935,1.3566852170611088,0.0013828958333333332,-0.005
10000,-100,15000,3600,0,7,3153,440,0.0019444444444444444,0.8758333333333334,0.12222222222222222,339,77,0.7704545454545455,0.175,54.437222222222225,-100.0,195974,-100.0,-100.0,-100.0,0.0,-100,10000,346,3230,0.0961111111111111,0.8972222222222223,1.6121891790578533,0.0013609305555555555,-0.0025
7500,-100,20000,3600,0,16,3229,355,0.0044444444444444444,0.8969444444444444,0.09861111111111111,293,61,0.8253521126760563,0.17183098591549295,54.310833333333335,-100.0,195519,-100.0,-100.0,-100.0,-84.80000000000018,-100,7500,309,3290,0.08583333333333333,0.9138888888888889,1.5989284664019998,0.0013577708333333334,-0.0025
