rank,tercile,stable,positive_sum_terciles,positive_avg_terciles,target_bps,stop_bps,max_hold_ms,eligible_count,excluded_count,target_count,stop_count,timeout_count,target_rate,stop_rate,timeout_rate,positive_timeout_count,negative_timeout_count,positive_timeout_rate,negative_timeout_rate,avg_pnl_bps,median_pnl_bps,sum_pnl_bps,p10_pnl_bps,p25_pnl_bps,p75_pnl_bps,p90_pnl_bps,min_pnl_bps,max_pnl_bps,positive_result_count,negative_result_count,win_rate,loss_rate,profit_factor,expected_gross_pnl_sol_at_0_25_sol,median_gross_pnl_sol_at_0_25_sol
9,middle,True,3,3,7500,-100,90000,1200,0,11,1158,31,0.009166666666666667,0.965,0.025833333333333333,24,7,0.7741935483870968,0.22580645161290322,13.358333333333333,-100.0,16030,-100.0,-100.0,-100.0,-100.0,-100,7500,35,1165,0.029166666666666667,0.9708333333333333,1.1377502792816019,0.0003339583333333333,-0.0025
9,late,True,3,3,7500,-100,90000,1200,0,16,1133,51,0.013333333333333334,0.9441666666666667,0.0425,48,3,0.9411764705882353,0.058823529411764705,80.40333333333334,-100.0,96484,-100.0,-100.0,-100.0,-100.0,-100,7500,64,1136,0.05333333333333334,0.9466666666666667,1.850161689679176,0.0020100833333333333,-0.0025
10,early,True,3,3,7500,-100,30000,1200,0,9,1087,104,0.0075,0.9058333333333334,0.08666666666666667,87,17,0.8365384615384616,0.16346153846153846,73.02833333333334,-100.0,87634,-100.0,-100.0,-100.0,-100.0,-100,7500,96,1104,0.08,0.92,1.7986475648877223,0.0018257083333333335,-0.0025
10,middle,True,3,3,7500,-100,30000,1200,0,5,1120,75,0.004166666666666667,0.9333333333333333,0.0625,62,13,0.8266666666666667,0.17333333333333334,22.120833333333334,-100.0,26545,-100.0,-100.0,-100.0,-100.0,-100,7500,67,1133,0.05583333333333333,0.9441666666666667,1.2350966690579306,0.0005530208333333333,-0.0025
10,late,True,3,3,7500,-100,30000,1200,0,8,1087,105,0.006666666666666667,0.9058333333333334,0.0875,94,11,0.8952380952380953,0.10476190476190476,81.59083333333334,-100.0,97909,-100.0,-100.0,-100.0,-100.0,-100,7500,102,1098,0.085,0.915,1.8951270799049187,0.0020397708333333335,-0.0025
11,early,True,3,3,10000,-200,120000,1200,0,18,668,514,0.015,0.5566666666666666,0.42833333333333334,64,450,0.1245136186770428,0.8754863813229572,89.26916666666666,-200.0,107123,-200.0,-200.0,-102.0,-102.0,-200,10000,82,1118,0.06833333333333333,0.9316666666666666,1.5832521166253777,0.0022317291666666666,-0.005
11,middle,True,3,3,10000,-200,120000,1200,0,14,716,470,0.011666666666666667,0.5966666666666667,0.39166666666666666,43,427,0.09148936170212765,0.9085106382978724,31.1875,-200.0,37425,-200.0,-200.0,-102.0,-102.0,-200,10000,57,1143,0.0475,0.9525,1.1963721652621968,0.0007796875,-0.005
11,late,True,3,3,10000,-200,120000,1200,0,13,732,455,0.010833333333333334,0.61,0.37916666666666665,64,391,0.14065934065934066,0.8593406593406593,55.9,-200.0,67080,-200.0,-200.0,-102.0,-102.0,-200,10000,77,1123,0.06416666666666666,0.9358333333333333,1.3522128819183736,0.0013974999999999999,-0.005
12,early,True,3,3,7500,-100,60000,1200,0,15,1118,67,0.0125,0.9316666666666666,0.05583333333333333,60,7,0.8955223880597015,0.1044776119402985,84.35916666666667,-100.0,101231,-100.0,-100.0,-100.0,-100.0,-100,7500,75,1125,0.0625,0.9375,1.9019798275001782,0.0021089791666666666,-0.0025
12,middle,True,3,3,7500,-100,60000,1200,0,8,1148,44,0.006666666666666667,0.9566666666666667,0.03666666666666667,36,8,0.8181818181818182,0.18181818181818182,13.894166666666667,-100.0,16673,-100.0,-100.0,-100.0,-100.0,-100,7500,44,1156,0.03666666666666667,0.9633333333333334,1.1445113759479957,0.00034735416666666666,-0.0025
12,late,True,3,3,7500,-100,60000,1200,0,14,1119,67,0.011666666666666667,0.9325,0.05583333333333333,63,4,0.9402985074626866,0.05970149253731343,75.5475,-100.0,90657,-100.0,-100.0,-100.0,-100.0,-100,7500,77,1123,0.06416666666666666,0.9358333333333333,1.8087226469460032,0.0018886875,-0.0025
13,early,True,3,3,6000,-100,90000,1200,0,25,1129,46,0.020833333333333332,0.9408333333333333,0.03833333333333333,41,5,0.8913043478260869,0.10869565217391304,87.55333333333333,-100.0,105064,-100.0,-100.0,-100.0,-100.0,-100,6000,66,1134,0.055,0.945,1.9281518061432723,0.002188833333333333,-0.0025
13,middle,True,3,3,6000,-100,90000,1200,0,15,1156,29,0.0125,0.9633333333333334,0.024166666666666666,22,7,0.7586206896551724,0.2413793103448276,12.06,-100.0,14472,-100.0,-100.0,-100.0,-100.0,-100,6000,37,1163,0.030833333333333334,0.9691666666666666,1.1245760523370922,0.0003015,-0.0025
13,late,True,3,3,6000,-100,90000,1200,0,21,1131,48,0.0175,0.9425,0.04,45,3,0.9375,0.0625,72.54666666666667,-100.0,87056,-100.0,-100.0,-100.0,-100.0,-100,6000,66,1134,0.055,0.945,1.768441772811129,0.0018136666666666668,-0.0025
14,early,True,3,3,6000,-100,30000,1200,0,14,1085,101,0.011666666666666667,0.9041666666666667,0.08416666666666667,84,17,0.8316831683168316,0.16831683168316833,73.4075,-100.0,88089,-100.0,-100.0,-100.0,-100.0,-100,6000,98,1102,0.08166666666666667,0.9183333333333333,1.804260097874516,0.0018351875,-0.0025
